#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               168           0.99768          0.894649         0.0180363
               169           0.99836          0.895262           0.01794
               170           0.98448          0.895787         0.0178422
               171           0.96028          0.896164         0.0177418
               172           0.86216          0.895967         0.0176397
               173           0.85712          0.895742         0.0175392
               174           0.81724          0.895291         0.0174442
               175           0.90924          0.895371         0.0173447
               176           0.94992          0.895681         0.0172489
               177           0.98832          0.896204         0.0171594
               178           0.99884          0.896781         0.0170727
               179            0.9472          0.897062         0.0169797
               180           0.94888           0.89735         0.0168878
               181            0.9992          0.897913         0.0168038
               182            0.9954          0.898449           0.01672
               183           0.99592          0.898981         0.0166372
               184           0.99872          0.899523         0.0165556
               185            0.9696          0.899902         0.0164704
               186           0.91412          0.899978          0.016382
               187           0.79336          0.899408         0.0163043
               188           0.77964          0.898771         0.0162301
               189           0.85428          0.898536         0.0161459
               190           0.99904          0.899065         0.0160696
               191           0.96324          0.899401          0.015989
               192           0.97312          0.899785         0.0159103
               193            0.9062          0.899818         0.0158279
               194           0.91396          0.899891         0.0157465
               195           0.86568          0.899715         0.0156667
               196            0.9996          0.900225          0.015595
               197             0.951          0.900483          0.015518
               198           0.99596          0.900965         0.0154471
               199           0.76344          0.900274          0.015385
               200           0.91516          0.900348         0.0153082
               201           0.97476          0.900719         0.0152365
               202           0.95192          0.900972         0.0151632
               203           0.10772          0.897064         0.0155839
               204           0.99048          0.897522         0.0155142
               205           0.91032          0.897585         0.0154387
               206           0.79516          0.897088         0.0153717
               207           0.97748          0.897476         0.0153024
               208           0.99268          0.897934         0.0152357
               209           0.99064          0.898377         0.0151692
               210            0.9454          0.898601         0.0150986
               211           0.99832          0.899074         0.0150345
               212            0.9646          0.899383         0.0149667
               213           0.98472          0.899783         0.0149018
               214           0.89252           0.89975         0.0148322
               215           0.95288          0.899997         0.0147653
               216           0.99308          0.900428         0.0147032
               217            0.7474          0.899722         0.0146524
               218           0.86488          0.899563          0.014586
               219           0.99844          0.900014         0.0145264
               220           0.92632          0.900134         0.0144609
               221           0.98996           0.90054         0.0144012
               222           0.98564          0.900923         0.0143414
               223           0.97756          0.901267         0.0142812
               224           0.84432          0.901013         0.0142197
               225            0.9522           0.90124         0.0141583
               226            0.9778          0.901579         0.0140997
               227           0.91232          0.901626         0.0140377
               228           0.95908          0.901878         0.0139784
               229           0.95184          0.902097          0.013919
               230           0.88056          0.902003         0.0138588
               231           0.98572          0.902365         0.0138036
               232           0.92572          0.902466         0.0137445
               233           0.84888          0.902236         0.0136874
               234           0.93136          0.902361         0.0136295
               235           0.97204          0.902657         0.0135747
               236           0.99228          0.903037         0.0135225
               237           0.98104          0.903366         0.0134694
               238           0.98536           0.90371         0.0134172
               239           0.98784          0.904062         0.0133657
               240            0.9726          0.904348         0.0133131
               241           0.97364          0.904636         0.0132609
               242           0.94428          0.904799         0.0132072
               243           0.73656          0.904107         0.0131709
               244           0.95548          0.904318         0.0131186
               245           0.99036          0.904669         0.0130698
               246           0.98972          0.905014         0.0130212
               247           0.99424          0.905376         0.0129735
               248           0.97112          0.905641         0.0129239
               249           0.97648          0.905925         0.0128752
               250           0.98692          0.906249         0.0128277
               251           0.99172           0.90659         0.0127811
               252           0.90456          0.906582         0.0127304
               253           0.93344          0.906688         0.0126806
               254           0.88716          0.906611         0.0126309
               255           0.97528           0.90688         0.0125842
               256           0.87596           0.90676         0.0125356
               257           0.98616          0.907068         0.0124906
               258           0.98628          0.907376          0.012446
               259           0.83836          0.907109         0.0124008
               260           0.97348          0.907364         0.0123557
               261           0.87752           0.90725         0.0123089
               262           0.94228          0.907384         0.0122627
               263           0.99292          0.907709         0.0122204
               264           0.96516          0.907927          0.012176
               265            0.9634          0.908136         0.0121319
               266           0.97576           0.90839         0.0120889
               267            0.9984          0.908727         0.0120483
               268           0.97444          0.908972         0.0120059
               269           0.87704          0.908854         0.0119618
               270           0.61632           0.90777         0.0119665
               271            0.9844          0.908053         0.0119257
               272           0.99932          0.908389         0.0118866
               273           0.96064           0.90858         0.0118446
               274           0.99468          0.908894         0.0118055
               275           0.99132          0.909194         0.0117664
               276             0.984          0.909465         0.0117269
               277           0.89116          0.909399         0.0116847
               278           0.87416          0.909272         0.0116434
               279           0.93904          0.909379         0.0116021
               280           0.94544          0.909508         0.0115614
               281           0.63764           0.90854         0.0115607
               282           0.99632          0.908851         0.0115239
               283           0.99744          0.909164         0.0114874
               284            0.9988           0.90948         0.0114513
               285           0.99316          0.909774         0.0114149
               286           0.81908          0.909457         0.0113794
               287           0.99924          0.909769          0.011344
               288           0.99388          0.910061         0.0113084
               289           0.98636          0.910325         0.0112723
               290           0.97484          0.910548         0.0112357
               291           0.50304          0.909147          0.011284
               292           0.66376          0.908307         0.0112766
               293           0.30332          0.906242         0.0114256
               294             0.974          0.906473          0.011389
               295           0.96984          0.906688         0.0113524
               296           0.81616          0.906382         0.0113182
               297           0.92396          0.906441         0.0112803
               298           0.85284          0.906261         0.0112438
               299           0.96424          0.906455         0.0112079
               300           0.99332          0.906745         0.0111743
               301           0.96988          0.906954         0.0111391
               302           0.87164          0.906837         0.0111029
               303           0.92228          0.906888         0.0110663
               304           0.95968          0.907062         0.0110313
               305           0.93356          0.907149         0.0109955
               306           0.95404          0.907302         0.0109606
               307           0.99624          0.907592         0.0109287
               308           0.98524          0.907844         0.0108962
               309           0.95744          0.908004         0.0108621
               310           0.97304          0.908214         0.0108291
               311           0.99816          0.908503         0.0107981
               312           0.92576          0.908559         0.0107636
               313           0.98904          0.908816         0.0107323
               314            0.8732          0.908702         0.0106987
               315           0.99856          0.908988         0.0106686
