# DISTANCE:     SINGLE_BLOCK_AVE_GOFR:       PROGRESSIVE_AVE_GOFR:        ERROR:
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088             0.044             0.044                 0
          0.897737             0.604             0.604                 0
          0.923387             4.132             4.132                 0
          0.949037            14.212            14.212                 0
          0.974686            32.218            32.218                 0
           1.00034            53.254            53.254                 0
           1.02599            69.376            69.376                 0
           1.05164            79.718            79.718                 0
           1.07728            83.612            83.612                 0
           1.10293            82.914            82.914                 0
           1.12858             79.34             79.34                 0
           1.15423            74.958            74.958                 0
           1.17988            70.286            70.286                 0
           1.20553            65.182            65.182                 0
           1.23118             60.37             60.37                 0
           1.25683            56.156            56.156                 0
           1.28248            54.132            54.132                 0
           1.30813            50.124            50.124                 0
           1.33378            48.702            48.702                 0
           1.35943            46.506            46.506                 0
           1.38508            45.422            45.422                 0
           1.41073            44.566            44.566                 0
           1.43638            43.996            43.996                 0
           1.46203            43.262            43.262                 0
           1.48768            43.134            43.134                 0
           1.51333            43.716            43.716                 0
           1.53898              43.9              43.9                 0
           1.56463            45.052            45.052                 0
           1.59028            47.004            47.004                 0
           1.61593            50.074            50.074                 0
           1.64158            51.872            51.872                 0
           1.66723            55.488            55.488                 0
           1.69288            59.964            59.964                 0
           1.71853            64.262            64.262                 0
           1.74418            69.404            69.404                 0
           1.76983            75.432            75.432                 0
           1.79547             81.49             81.49                 0
           1.82112            88.426            88.426                 0
           1.84677            94.738            94.738                 0
           1.87242            101.45            101.45                 0
           1.89807           109.278           109.278                 0
           1.92372           115.152           115.152                 0
           1.94937           121.512           121.512                 0
           1.97502           127.654           127.654                 0
           2.00067           134.144           134.144                 0
           2.02632           139.432           139.432                 0
           2.05197           143.976           143.976                 0
           2.07762           147.476           147.476                 0
           2.10327           149.976           149.976                 0
           2.12892           153.026           153.026                 0
           2.15457            152.87            152.87                 0
           2.18022           153.382           153.382                 0
           2.20587            153.35            153.35                 0
           2.23152           154.086           154.086                 0
           2.25717           153.056           153.056                 0
           2.28282           153.598           153.598                 0
           2.30847           152.014           152.014                 0
           2.33412           154.248           154.248                 0
           2.35977           152.934           152.934                 0
           2.38542           152.788           152.788                 0
           2.41107           153.528           153.528                 0
           2.43672            153.96            153.96                 0
           2.46237           154.488           154.488                 0
           2.48802           156.402           156.402                 0
           2.51366           156.346           156.346                 0
           2.53931           159.804           159.804                 0
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088              0.05             0.047        0.00212132
          0.897737             0.544             0.574         0.0212132
          0.923387             3.742             3.937          0.137886
          0.949037            14.702            14.457          0.173241
          0.974686            31.724            31.971          0.174655
           1.00034            53.238            53.246        0.00565685
           1.02599             70.62            69.998           0.43982
           1.05164            79.648            79.683         0.0247487
           1.07728            84.716            84.164          0.390323
           1.10293            83.592            83.253          0.239709
           1.12858            80.894            80.117          0.549422
           1.15423            74.566            74.762          0.138593
           1.17988            69.034             69.66          0.442649
           1.20553            64.434            64.808          0.264458
           1.23118            60.596            60.483         0.0799031
           1.25683            56.002            56.079         0.0544472
           1.28248            52.948             53.54          0.418607
           1.30813            50.068            50.096          0.019799
           1.33378            47.742            48.222          0.339411
           1.35943             44.99            45.748          0.535987
           1.38508            44.324            44.873          0.388202
           1.41073            43.504            44.035          0.375474
           1.43638            43.218            43.607          0.275065
           1.46203             42.56            42.911          0.248194
           1.48768              43.1            43.117         0.0120208
           1.51333            44.032            43.874          0.111723
           1.53898            45.434            44.667          0.542351
           1.56463            46.498            45.775          0.511238
           1.59028            48.992            47.998          0.702864
           1.61593             51.12            50.597          0.369817
           1.64158             53.51            52.691           0.57912
           1.66723            56.882            56.185          0.492853
           1.69288             60.08            60.022         0.0410122
           1.71853            64.974            64.618           0.25173
           1.74418            70.202            69.803          0.282136
           1.76983            75.172            75.302         0.0919239
           1.79547            81.586            81.538         0.0339411
           1.82112             88.42            88.423        0.00212132
           1.84677            94.668            94.703         0.0247487
           1.87242           100.836           101.143          0.217082
           1.89807            107.06           108.169          0.784181
           1.92372           113.434           114.293          0.607405
           1.94937           120.412           120.962          0.388909
           1.97502           126.004           126.829          0.583363
           2.00067           131.718           132.931          0.857721
           2.02632            138.78           139.106          0.230517
           2.05197           144.072           144.024         0.0339411
           2.07762           148.806           148.141          0.470226
           2.10327           151.732           150.854           0.62084
           2.12892            152.89           152.958         0.0480833
           2.15457           154.806           153.838          0.684479
           2.18022           154.766           154.074          0.489318
           2.20587           155.094           154.222          0.616597
           2.23152            156.09           155.088          0.708521
           2.25717           153.144             153.1         0.0311127
           2.28282           152.116           152.857          0.523966
           2.30847           153.212           152.613          0.423557
           2.33412           152.222           153.235          0.716299
           2.35977             150.4           151.667          0.895904
           2.38542           151.938           152.363           0.30052
           2.41107            153.11           153.319          0.147785
           2.43672            152.52            153.24          0.509117
           2.46237           154.624           154.556         0.0480833
           2.48802           155.186           155.794          0.429921
           2.51366           156.816           156.581           0.16617
           2.53931           160.348           160.076          0.192333
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088              0.01         0.0346667         0.0101689
          0.897737             0.606          0.584667         0.0166088
          0.923387              3.88             3.918         0.0932237
          0.949037            13.972           14.2953          0.175394
          0.974686            32.426           32.1227          0.169979
           1.00034            54.224            53.572          0.266205
           1.02599            70.014           70.0033          0.293246
           1.05164            80.392           79.9193          0.193669
           1.07728            83.978            84.102          0.265094
           1.10293            83.412            83.306          0.165562
           1.12858            79.794           80.0093          0.376683
           1.15423             75.11            74.878          0.132316
           1.17988            69.738            69.686          0.295862
           1.20553            64.556            64.724          0.189176
           1.23118            59.614           60.1933          0.242436
           1.25683            55.478           55.8787          0.167551
           1.28248            52.232            53.104           0.45234
