                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438             0.004           0.00032       0.000131818
          0.872088             0.024            0.0281        0.00123818
          0.897737             0.736           0.56522        0.00599165
          0.923387             4.106            4.0421         0.0193174
          0.949037            15.642           14.5313         0.0476414
          0.974686            33.014           32.7205         0.0669627
           1.00034             54.74            53.328         0.0848423
           1.02599            70.754           70.1795         0.0735015
           1.05164            80.142           80.4416         0.0666412
           1.07728            83.762           84.2695         0.0675585
           1.10293            83.532           83.2891         0.0789805
           1.12858            79.132           79.7606         0.0779514
           1.15423            73.702           74.8185         0.0793883
           1.17988             67.17           69.4698         0.0810047
           1.20553            63.494           64.5098         0.0796094
           1.23118            58.214           59.9284         0.0797431
           1.25683             54.16           55.9546         0.0788732
           1.28248            51.336            52.527         0.0801844
           1.30813            49.236           49.8474         0.0688558
           1.33378            47.336           47.5998         0.0657925
           1.35943             45.56           45.8529         0.0596665
           1.38508            44.468           44.6325         0.0593929
           1.41073            45.038           43.8353         0.0585423
           1.43638            44.302            43.261         0.0611044
           1.46203             44.43           43.0785         0.0666543
           1.48768            45.598           43.3763         0.0754157
           1.51333            45.688           43.9878         0.0698893
           1.53898             46.64           45.0173         0.0700282
           1.56463            47.762           46.4661         0.0741622
           1.59028            49.798           48.3031         0.0734861
           1.61593            52.552           50.6479         0.0808659
           1.64158             54.29           53.5669         0.0854102
           1.66723            56.816           56.8359         0.0935344
           1.69288            61.508           60.7143         0.0839034
           1.71853            63.934           65.0415         0.0854419
           1.74418             69.55           69.9812         0.0870775
           1.76983            74.264           75.4827         0.0914103
           1.79547            80.684           81.2635         0.0899936
           1.82112            86.404           87.6388          0.107588
           1.84677            93.822           94.0285          0.113754
           1.87242            100.97           100.621          0.116959
           1.89807            106.86           107.548          0.119654
           1.92372            114.16           114.284          0.110993
           1.94937           121.134           121.253          0.120614
           1.97502           127.168           127.745          0.116348
           2.00067           134.708           133.869          0.116063
           2.02632           140.088           139.246          0.109017
           2.05197            144.03           144.099          0.120947
           2.07762           147.272           147.743          0.108391
           2.10327           147.876           150.704          0.125912
           2.12892           152.548           152.741           0.12914
           2.15457           151.508           153.639           0.14835
           2.18022           152.224           154.139          0.134996
           2.20587            151.82           154.155          0.151321
           2.23152           150.944           153.785          0.148911
           2.25717           151.306           153.166          0.139672
           2.28282            149.88           152.617           0.15117
           2.30847           151.966           152.138          0.141037
           2.33412           152.862           151.741          0.147648
           2.35977           151.316           151.779          0.144247
           2.38542           152.984           152.038          0.140645
           2.41107           152.908           152.625          0.132546
           2.43672            154.55           153.665          0.141346
           2.46237           158.018           155.256          0.147511
           2.48802             158.9           156.053          0.144831
           2.51366           161.596           157.437          0.144271
           2.53931           164.454            160.77          0.155907
