#     BLOCK:  ACTUAL_I:     I_AVE:      ERROR:
               151         -0.445086         -0.441224        0.00079479
               152         -0.438798         -0.441208       0.000789721
               153         -0.436169         -0.441175       0.000785246
               154         -0.400049         -0.440908       0.000824307
               155         -0.442494         -0.440918       0.000819053
               156         -0.446003         -0.440951       0.000814451
               157         -0.446576         -0.440987       0.000810051
               158         -0.438001         -0.440968       0.000805144
               159         -0.440179         -0.440963       0.000800096
               160         -0.466291         -0.441121       0.000810604
               161         -0.450768         -0.441181       0.000807781
               162          -0.44471         -0.441203       0.000803088
               163         -0.448598         -0.441248       0.000799442
               164         -0.447319         -0.441285       0.000795424
               165          -0.44081         -0.441282       0.000790608
               166         -0.446632         -0.441315       0.000786502
               167         -0.425874         -0.441222       0.000787208
               168         -0.449589         -0.441272       0.000784096
               169         -0.425497         -0.441179       0.000784993
               170         -0.440878         -0.441177       0.000780377
               171         -0.430523         -0.441114       0.000778297
               172         -0.440409          -0.44111       0.000773783
               173         -0.437924         -0.441092       0.000769529
               174         -0.431104         -0.441035       0.000767245
               175          -0.42647         -0.440951       0.000767361
               176         -0.443195         -0.440964       0.000763107
               177          -0.43645         -0.440939       0.000759222
               178         -0.451109         -0.440996       0.000757103
               179         -0.440657         -0.440994       0.000752876
               180         -0.439165         -0.440984       0.000748762
               181          -0.39781         -0.440745       0.000781695
               182          -0.44048         -0.440744       0.000777402
               183         -0.422577         -0.440644       0.000779466
               184         -0.449447         -0.440692       0.000776697
               185         -0.441074         -0.440694       0.000772501
               186         -0.441893         -0.440701       0.000768375
               187         -0.452931         -0.440766       0.000767044
               188          -0.43069         -0.440713       0.000764834
               189         -0.456109         -0.440794       0.000765114
               190         -0.438258         -0.440781       0.000761203
               191         -0.445115         -0.440803       0.000757556
               192         -0.453375         -0.440869       0.000756435
               193         -0.448509         -0.440908       0.000753551
               194         -0.439341           -0.4409        0.00074971
               195         -0.451048         -0.440952       0.000747669
               196         -0.433844         -0.440916       0.000744734
               197         -0.453386         -0.440979       0.000743639
               198         -0.445596         -0.441003       0.000740248
               199         -0.425837         -0.440927       0.000740441
               200         -0.445509         -0.440949       0.000737093
