#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
               167                -1         -0.938204        0.00589345
               168                -1         -0.938571        0.00586984
               169                -1         -0.938935        0.00584635
               170                -1         -0.939294        0.00582298
               171                -1         -0.939649        0.00579974
               172                -1             -0.94        0.00577662
               173                -1         -0.940347        0.00575364
               174                -1          -0.94069        0.00573077
               175                -1         -0.941029        0.00570804
               176                -1         -0.941364        0.00568543
               177                -1         -0.941695        0.00566295
               178                -1         -0.942022        0.00564061
               179                -1         -0.942346        0.00561839
               180                -1         -0.942667         0.0055963
               181                -1         -0.942983        0.00557433
               182                -1         -0.943297         0.0055525
               183                -1         -0.943607         0.0055308
               184                -1         -0.943913        0.00550923
               185                -1         -0.944216        0.00548778
               186                -1         -0.944516        0.00546647
               187                -1         -0.944813        0.00544528
               188                -1         -0.945106        0.00542422
               189                -1         -0.945397        0.00540329
               190                -1         -0.945684        0.00538249
               191                -1         -0.945969        0.00536182
               192                -1          -0.94625        0.00534127
               193                -1         -0.946528        0.00532085
               194                -1         -0.946804        0.00530056
               195                -1         -0.947077        0.00528039
               196                -1         -0.947347        0.00526035
               197                -1         -0.947614        0.00524043
               198                -1         -0.947879        0.00522064
               199                -1         -0.948141        0.00520097
               200                -1           -0.9484        0.00518143
               201                -1         -0.948657        0.00516201
               202                -1         -0.948911        0.00514271
               203                -1         -0.949163        0.00512353
               204                -1         -0.949412        0.00510447
               205                -1         -0.949659        0.00508553
               206                -1         -0.949903        0.00506671
               207                -1         -0.950145        0.00504801
               208                -1         -0.950385        0.00502943
               209                -1         -0.950622        0.00501096
               210                -1         -0.950857        0.00499262
               211                -1          -0.95109        0.00497438
               212                -1         -0.951321        0.00495627
               213                -1         -0.951549        0.00493826
               214                -1         -0.951776        0.00492037
               215                -1            -0.952         0.0049026
               216                -1         -0.952222        0.00488494
               217                -1         -0.952442        0.00486738
               218                -1         -0.952661        0.00484994
               219                -1         -0.952877        0.00483261
               220                -1         -0.953091        0.00481539
               221                -1         -0.953303        0.00479828
               222                -1         -0.953514        0.00478127
               223                -1         -0.953722        0.00476437
               224                -1         -0.953929        0.00474758
               225                -1         -0.954133        0.00473089
               226                -1         -0.954336        0.00471431
               227                -1         -0.954537        0.00469783
               228                -1         -0.954737        0.00468146
               229                -1         -0.954934        0.00466519
               230                -1          -0.95513        0.00464902
               231                -1         -0.955325        0.00463295
               232                -1         -0.955517        0.00461698
               233                -1         -0.955708        0.00460111
               234                -1         -0.955897        0.00458534
               235                -1         -0.956085        0.00456966
               236                -1         -0.956271        0.00455409
               237                -1         -0.956456        0.00453861
               238                -1         -0.956639        0.00452322
               239                -1          -0.95682        0.00450794
               240                -1            -0.957        0.00449274
               241                -1         -0.957178        0.00447764
               242                -1         -0.957355        0.00446263
               243                -1         -0.957531        0.00444772
               244                -1         -0.957705        0.00443289
               245                -1         -0.957878        0.00441816
               246                -1         -0.958049        0.00440352
               247                -1         -0.958219        0.00438896
               248                -1         -0.958387         0.0043745
               249                -1         -0.958554        0.00436012
               250                -1          -0.95872        0.00434583
               251                -1         -0.958884        0.00433163
               252                -1         -0.959048        0.00431751
               253                -1         -0.959209        0.00430348
               254                -1          -0.95937        0.00428953
               255                -1         -0.959529        0.00427567
               256                -1         -0.959688        0.00426189
               257                -1         -0.959844        0.00424819
               258                -1             -0.96        0.00423457
               259                -1         -0.960154        0.00422104
               260                -1         -0.960308        0.00420759
               261                -1          -0.96046        0.00419421
               262                -1         -0.960611        0.00418092
               263                -1          -0.96076         0.0041677
               264                -1         -0.960909        0.00415457
               265                -1         -0.961057        0.00414151
               266                -1         -0.961203        0.00412852
               267                -1         -0.961348        0.00411562
               268                -1         -0.961493        0.00410279
               269                -1         -0.961636        0.00409003
               270                -1         -0.961778        0.00407735
               271                -1         -0.961919        0.00406474
               272                -1         -0.962059        0.00405221
               273                -1         -0.962198        0.00403975
               274                -1         -0.962336        0.00402736
               275                -1         -0.962473        0.00401504
               276                -1         -0.962609         0.0040028
               277                -1         -0.962744        0.00399062
               278                -1         -0.962878        0.00397852
               279                -1         -0.963011        0.00396648
               280                -1         -0.963143        0.00395452
               281                -1         -0.963274        0.00394262
               282                -1         -0.963404        0.00393079
               283                -1         -0.963534        0.00391902
               284                -1         -0.963662        0.00390733
               285                -1         -0.963789         0.0038957
               286                -1         -0.963916        0.00388413
               287                -1         -0.964042        0.00387263
               288                -1         -0.964167         0.0038612
               289                -1         -0.964291        0.00384983
               290                -1         -0.964414        0.00383852
               291                -1         -0.964536        0.00382728
               292                -1         -0.964658         0.0038161
               293                -1         -0.964778        0.00380498
               294                -1         -0.964898        0.00379392
               295                -1         -0.965017        0.00378293
               296                -1         -0.965135        0.00377199
               297                -1         -0.965253        0.00376112
               298                -1         -0.965369         0.0037503
               299                -1         -0.965485        0.00373955
               300                -1           -0.9656        0.00372885
               301                -1         -0.965714        0.00371822
               302                -1         -0.965828        0.00370764
               303                -1         -0.965941        0.00369712
               304                -1         -0.966053        0.00368665
               305                -1         -0.966164        0.00367624
               306                -1         -0.966275        0.00366589
               307                -1         -0.966384         0.0036556
               308                -1         -0.966494        0.00364536
               309                -1         -0.966602        0.00363517
               310                -1          -0.96671        0.00362504
               311                -1         -0.966817        0.00361497
               312                -1         -0.966923        0.00360494
               313                -1         -0.967029        0.00359498
               314                -1         -0.967134        0.00358506
               315                -1         -0.967238         0.0035752
               316                -1         -0.967342        0.00356539
               317                -1         -0.967445        0.00355563
               318                -1         -0.967547        0.00354592
               319                -1         -0.967649        0.00353626
               320                -1          -0.96775        0.00352666
               321                -1          -0.96785         0.0035171
               322                -1          -0.96795        0.00350759
               323                -1          -0.96805        0.00349814
               324                -1         -0.968148        0.00348873
               325                -1         -0.968246        0.00347937
               326                -1         -0.968344        0.00347006
               327                -1          -0.96844         0.0034608
               328                -1         -0.968537        0.00345159
               329                -1         -0.968632        0.00344242
               330                -1         -0.968727         0.0034333
               331                -1         -0.968822        0.00342423
               332                -1         -0.968916         0.0034152
               333                -1         -0.969009        0.00340622
               334                -1         -0.969102        0.00339729
               335                -1         -0.969194         0.0033884
               336                -1         -0.969286        0.00337955
               337                -1         -0.969377        0.00337075
               338                -1         -0.969467          0.003362
               339                -1         -0.969558        0.00335329
               340                -1         -0.969647        0.00334462
               341                -1         -0.969736          0.003336
               342                -1         -0.969825        0.00332742
               343                -1         -0.969913        0.00331888
               344                -1             -0.97        0.00331038
               345                -1         -0.970087        0.00330193
               346                -1         -0.970173        0.00329352
               347                -1         -0.970259        0.00328515
               348                -1         -0.970345        0.00327682
               349                -1          -0.97043        0.00326853
               350                -1         -0.970514        0.00326028
               351                -1         -0.970598        0.00325208
               352                -1         -0.970682        0.00324391
               353                -1         -0.970765        0.00323578
               354                -1         -0.970847         0.0032277
               355                -1          -0.97093        0.00321965
               356                -1         -0.971011        0.00321164
               357                -1         -0.971092        0.00320367
               358                -1         -0.971173        0.00319574
               359                -1         -0.971253        0.00318785
               360                -1         -0.971333        0.00317999
               361                -1         -0.971413        0.00317217
               362                -1         -0.971492        0.00316439
               363                -1          -0.97157        0.00315665
               364                -1         -0.971648        0.00314894
               365                -1         -0.971726        0.00314128
               366                -1         -0.971803        0.00313364
               367                -1          -0.97188        0.00312605
               368                -1         -0.971957        0.00311848
               369                -1         -0.972033        0.00311096
               370                -1         -0.972108        0.00310347
               371                -1         -0.972183        0.00309602
               372                -1         -0.972258         0.0030886
               373                -1         -0.972332        0.00308121
               374                -1         -0.972406        0.00307386
               375                -1          -0.97248        0.00306654
               376                -1         -0.972553        0.00305926
               377                -1         -0.972626        0.00305201
               378                -1         -0.972698         0.0030448
               379                -1          -0.97277        0.00303762
               380                -1         -0.972842        0.00303047
               381                -1         -0.972913        0.00302335
               382                -1         -0.972984        0.00301627
               383                -1         -0.973055        0.00300922
               384                -1         -0.973125         0.0030022
               385                -1         -0.973195        0.00299521
               386                -1         -0.973264        0.00298826
               387                -1         -0.973333        0.00298133
               388                -1         -0.973402        0.00297444
               389                -1          -0.97347        0.00296758
               390                -1         -0.973538        0.00296075
               391                -1         -0.973606        0.00295395
               392                -1         -0.973673        0.00294719
               393                -1          -0.97374        0.00294045
               394                -1         -0.973807        0.00293374
               395                -1         -0.973873        0.00292706
               396                -1         -0.973939        0.00292041
               397                -1         -0.974005        0.00291379
               398                -1          -0.97407        0.00290721
               399                -1         -0.974135        0.00290065
               400                -1           -0.9742        0.00289411
               401                -1         -0.974264        0.00288761
               402                -1         -0.974328        0.00288114
               403                -1         -0.974392        0.00287469
               404                -1         -0.974455        0.00286828
               405                -1         -0.974519        0.00286189
               406                -1         -0.974581        0.00285553
               407                -1         -0.974644        0.00284919
               408                -1         -0.974706        0.00284289
               409                -1         -0.974768        0.00283661
               410                -1         -0.974829        0.00283036
               411                -1         -0.974891        0.00282414
               412                -1         -0.974951        0.00281794
               413                -1         -0.975012        0.00281177
               414                -1         -0.975072        0.00280562
               415                -1         -0.975133        0.00279951
               416                -1         -0.975192        0.00279341
               417                -1         -0.975252        0.00278735
               418                -1         -0.975311        0.00278131
               419                -1          -0.97537         0.0027753
               420                -1         -0.975429        0.00276931
               421                -1         -0.975487        0.00276334
               422                -1         -0.975545        0.00275741
               423                -1         -0.975603        0.00275149
               424                -1          -0.97566        0.00274561
               425                -1         -0.975718        0.00273974
               426                -1         -0.975775         0.0027339
               427                -1         -0.975831        0.00272809
               428                -1         -0.975888         0.0027223
               429                -1         -0.975944        0.00271654
               430                -1            -0.976        0.00271079
               431                -1         -0.976056        0.00270508
               432                -1         -0.976111        0.00269938
               433                -1         -0.976166        0.00269371
               434                -1         -0.976221        0.00268807
               435                -1         -0.976276        0.00268244
               436                -1          -0.97633        0.00267684
               437                -1         -0.976384        0.00267126
               438                -1         -0.976438        0.00266571
               439                -1         -0.976492        0.00266018
               440                -1         -0.976545        0.00265467
               441                -1         -0.976599        0.00264918
               442                -1         -0.976652        0.00264372
               443                -1         -0.976704        0.00263827
               444                -1         -0.976757        0.00263285
               445                -1         -0.976809        0.00262745
               446                -1         -0.976861        0.00262208
               447                -1         -0.976913        0.00261672
               448                -1         -0.976964        0.00261139
               449                -1         -0.977016        0.00260608
               450                -1         -0.977067        0.00260079
               451                -1         -0.977118        0.00259552
               452                -1         -0.977168        0.00259027
               453                -1         -0.977219        0.00258504
               454                -1         -0.977269        0.00257983
               455                -1         -0.977319        0.00257465
               456                -1         -0.977368        0.00256948
               457                -1         -0.977418        0.00256434
               458                -1         -0.977467        0.00255921
               459                -1         -0.977516        0.00255411
               460                -1         -0.977565        0.00254902
               461                -1         -0.977614        0.00254396
               462                -1         -0.977662        0.00253891
               463                -1         -0.977711        0.00253389
               464                -1         -0.977759        0.00252888
               465                -1         -0.977806        0.00252389
               466                -1         -0.977854        0.00251893
               467                -1         -0.977901        0.00251398
               468                -1         -0.977949        0.00250905
               469                -1         -0.977996        0.00250414
               470                -1         -0.978043        0.00249925
               471                -1         -0.978089        0.00249438
               472                -1         -0.978136        0.00248953
               473                -1         -0.978182        0.00248469
               474                -1         -0.978228        0.00247988
               475                -1         -0.978274        0.00247508
               476                -1         -0.978319         0.0024703
               477                -1         -0.978365        0.00246554
               478                -1          -0.97841         0.0024608
               479                -1         -0.978455        0.00245607
               480                -1           -0.9785        0.00245137
               481                -1         -0.978545        0.00244668
               482                -1         -0.978589        0.00244201
               483                -1         -0.978634        0.00243735
               484                -1         -0.978678        0.00243272
               485                -1         -0.978722         0.0024281
               486                -1         -0.978765         0.0024235
               487                -1         -0.978809        0.00241891
               488                -1         -0.978852        0.00241435
               489                -1         -0.978896         0.0024098
               490                -1         -0.978939        0.00240526
               491                -1         -0.978982        0.00240075
               492                -1         -0.979024        0.00239625
               493                -1         -0.979067        0.00239176
               494                -1         -0.979109         0.0023873
               495                -1         -0.979152        0.00238285
               496                -1         -0.979194        0.00237841
               497                -1         -0.979235          0.002374
               498                -1         -0.979277         0.0023696
               499                -1         -0.979319        0.00236521
               500                -1          -0.97936        0.00236084
               501                -1         -0.979401        0.00235649
               502                -1         -0.979442        0.00235215
               503                -1         -0.979483        0.00234783
               504                -1         -0.979524        0.00234353
               505                -1         -0.979564        0.00233924
               506                -1         -0.979605        0.00233496
               507                -1         -0.979645         0.0023307
               508                -1         -0.979685        0.00232646
               509                -1         -0.979725        0.00232223
               510                -1         -0.979765        0.00231802
               511                -1         -0.979804        0.00231382
               512                -1         -0.979844        0.00230964
               513                -1         -0.979883        0.00230547
               514                -1         -0.979922        0.00230132
               515                -1         -0.979961        0.00229718
               516                -1             -0.98        0.00229305
               517                -1         -0.980039        0.00228895
               518                -1         -0.980077        0.00228485
               519                -1         -0.980116        0.00228077
               520                -1         -0.980154        0.00227671
               521                -1         -0.980192        0.00227265
               522                -1          -0.98023        0.00226862
               523                -1         -0.980268        0.00226459
               524                -1         -0.980305        0.00226059
               525                -1         -0.980343        0.00225659
               526                -1          -0.98038        0.00225261
               527                -1         -0.980417        0.00224864
               528                -1         -0.980455        0.00224469
               529                -1         -0.980491        0.00224075
               530                -1         -0.980528        0.00223683
               531                -1         -0.980565        0.00223291
               532                -1         -0.980602        0.00222902
               533                -1         -0.980638        0.00222513
               534                -1         -0.980674        0.00222126
               535                -1          -0.98071         0.0022174
               536                -1         -0.980746        0.00221356
               537                -1         -0.980782        0.00220972
               538                -1         -0.980818        0.00220591
               539                -1         -0.980853         0.0022021
               540                -1         -0.980889        0.00219831
               541                -1         -0.980924        0.00219453
               542                -1         -0.980959        0.00219076
               543                -1         -0.980994        0.00218701
               544                -1         -0.981029        0.00218327
               545                -1         -0.981064        0.00217954
               546                -1         -0.981099        0.00217582
               547                -1         -0.981133        0.00217212
