#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
               184           166.667           99.0623           5.05022
               185           166.667           99.4277           5.03612
               186           166.667           99.7892             5.022
               187           166.667           100.147           5.00786
               188           166.667           100.501           4.99371
               189           166.667           100.851           4.97955
               190           166.667           101.197           4.96537
               191           166.667            101.54           4.95119
               192           166.667           101.879           4.93701
               193           166.667           102.215           4.92283
               194           166.667           102.547           4.90865
               195           166.667           102.876           4.89448
               196           166.667           103.201           4.88032
               197           166.667           103.524           4.86616
               198           166.667           103.842           4.85203
               199           166.667           104.158            4.8379
               200           166.667           104.471            4.8238
               201           166.667            104.78           4.80972
               202           166.667           105.086           4.79565
               203           166.667            105.39           4.78161
               204           166.667            105.69            4.7676
               205           166.667           105.988           4.75361
               206           166.667           106.282           4.73965
               207           166.667           106.574           4.72573
               208           166.667           106.863           4.71183
               209           166.667           107.149           4.69796
               210           166.667           107.432           4.68413
               211           166.667           107.713           4.67034
               212           166.667           107.991           4.65658
               213           166.667           108.267           4.64286
               214           166.667            108.54           4.62918
               215           166.667            108.81           4.61553
               216           166.667           109.078           4.60193
               217           166.667           109.343           4.58837
               218           166.667           109.606           4.57485
               219           166.667           109.867           4.56138
               220           166.667           110.125           4.54794
               221           166.667           110.381           4.53455
               222           166.667           110.634           4.52121
               223           166.667           110.886           4.50791
               224           166.667           111.135           4.49466
               225           166.667           111.381           4.48146
               226           166.667           111.626            4.4683
               227           166.667           111.868           4.45519
               228           166.667           112.109           4.44213
               229           166.667           112.347           4.42911
               230           166.667           112.583           4.41615
               231           166.667           112.817           4.40323
               232           166.667           113.049           4.39037
               233           166.667            113.28           4.37755
               234           166.667           113.508           4.36478
               235           166.667           113.734           4.35207
               236           166.667           113.958            4.3394
               237           166.667           114.181           4.32679
               238           166.667           114.401           4.31423
               239           166.667            114.62           4.30171
               240           166.667           114.837           4.28925
               241           166.667           115.052           4.27684
               242           166.667           115.265           4.26448
               243           166.667           115.477           4.25218
               244           166.667           115.686           4.23992
               245           166.667           115.894           4.22772
               246           166.667           116.101           4.21557
               247           166.667           116.306           4.20347
               248           166.667           116.509           4.19142
               249           166.667            116.71           4.17943
               250           166.667            116.91           4.16748
               251           166.667           117.108           4.15559
               252           166.667           117.305           4.14375
               253           166.667             117.5           4.13197
