#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
               160             -0.76           -0.7715        0.00717101
               161             -0.76         -0.771429        0.00712683
               162              -0.6          -0.77037        0.00716097
               163              -0.6         -0.769325        0.00719291
               164             -0.76         -0.769268        0.00714928
               165             -0.76         -0.769212        0.00710617
               166             -0.84         -0.769639        0.00707614
               167             -0.84          -0.77006         0.0070463
               168             -0.84         -0.770476        0.00701665
               169             -0.68         -0.769941        0.00699552
               170             -0.76         -0.769882        0.00695462
               171             -0.84         -0.770292        0.00692602
               172             -0.84         -0.770698         0.0068976
               173             -0.84         -0.771098        0.00686936
               174             -0.84         -0.771494        0.00684128
               175             -0.84         -0.771886        0.00681338
               176             -0.68         -0.771364        0.00679464
               177             -0.68         -0.770847        0.00677583
               178             -0.76         -0.770787        0.00673804
               179             -0.84         -0.771173        0.00671148
               180             -0.84         -0.771556        0.00668508
               181             -0.76         -0.771492        0.00664845
               182             -0.68         -0.770989         0.0066309
               183             -0.76         -0.770929        0.00659493
               184             -0.76          -0.77087        0.00655936
               185             -0.76         -0.770811        0.00652417
               186             -0.68         -0.770323        0.00650733
               187             -0.76         -0.770267        0.00647277
               188             -0.76         -0.770213        0.00643857
               189             -0.76         -0.770159        0.00640473
               190             -0.76         -0.770105        0.00637124
               191             -0.76         -0.770052        0.00633811
               192              -0.6         -0.769167        0.00636668
               193             -0.76         -0.769119        0.00633387
               194             -0.76         -0.769072        0.00630139
               195             -0.68         -0.768615        0.00628561
               196             -0.76         -0.768571         0.0062537
               197             -0.68         -0.768122        0.00623809
               198             -0.76         -0.768081        0.00620672
               199             -0.76          -0.76804        0.00617566
               200             -0.76            -0.768        0.00614492
               201             -0.76          -0.76796        0.00611447
               202             -0.68         -0.767525        0.00609969
               203             -0.84         -0.767882        0.00608008
               204             -0.76         -0.767843         0.0060504
               205             -0.68         -0.767415        0.00603604
               206             -0.84         -0.767767        0.00601701
               207             -0.84         -0.768116        0.00599806
               208             -0.68         -0.767692        0.00598416
               209             -0.68         -0.767273        0.00597022
               210             -0.68         -0.766857        0.00595624
               211             -0.76         -0.766825         0.0059281
               212             -0.76         -0.766792        0.00590022
               213             -0.76         -0.766761        0.00587261
               214             -0.76         -0.766729        0.00584525
               215             -0.84          -0.76707        0.00582799
               216             -0.84         -0.767407        0.00581078
               217             -0.68         -0.767005        0.00579795
               218             -0.84         -0.767339        0.00578101
               219             -0.84         -0.767671        0.00576413
               220             -0.76         -0.767636        0.00573803
               221             -0.84         -0.767964         0.0057214
               222             -0.84         -0.768288        0.00570483
               223             -0.76         -0.768251        0.00567936
               224             -0.68         -0.767857        0.00566766
               225             -0.44           -0.7664        0.00582677
               226              -0.6         -0.765664        0.00584733
               227             -0.68         -0.765286        0.00583373
               228             -0.84         -0.765614        0.00581734
               229             -0.76          -0.76559        0.00579199
               230             -0.76         -0.765565        0.00576686
               231             -0.76         -0.765541        0.00574194
               232             -0.76         -0.765517        0.00571724
               233             -0.76         -0.765494        0.00569275
               234             -0.76          -0.76547        0.00566847
               235             -0.76         -0.765447         0.0056444
               236             -0.84         -0.765763        0.00562932
               237             -0.76         -0.765738        0.00560562
               238             -0.84          -0.76605        0.00559074
               239             -0.76         -0.766025        0.00556741
               240             -0.76            -0.766        0.00554427
               241             -0.68         -0.765643        0.00553273
               242             -0.68         -0.765289        0.00552118
               243             -0.68         -0.764938         0.0055096
               244             -0.68          -0.76459        0.00549801
               245             -0.68         -0.764245         0.0054864
               246             -0.68         -0.763902        0.00547477
               247              -0.6         -0.763239        0.00549267
               248             -0.68         -0.762903        0.00548077
               249             -0.84         -0.763213         0.0054675
               250             -0.76           -0.7632        0.00544564
               251             -0.84         -0.763506        0.00543254
               252             -0.84          -0.76381        0.00541945
               253             -0.84         -0.764111        0.00540639
               254             -0.84         -0.764409        0.00539336
               255             -0.84         -0.764706        0.00538035
               256             -0.84            -0.765        0.00536736
               257             -0.84         -0.765292        0.00535441
               258              -0.6         -0.764651        0.00537184
               259              -0.6         -0.764015        0.00538859
               260             -0.76            -0.764        0.00536789
               261             -0.76         -0.763985        0.00534734
               262             -0.76         -0.763969        0.00532695
               263             -0.84         -0.764259        0.00531454
               264             -0.76         -0.764242        0.00529443
               265             -0.68         -0.763925        0.00528399
               266             -0.76          -0.76391        0.00526414
               267             -0.84         -0.764195        0.00525214
               268             -0.84         -0.764478        0.00524015
               269             -0.68         -0.764164        0.00523007
               270             -0.68         -0.763852        0.00521998
               271             -0.76         -0.763838        0.00520074
               272             -0.84         -0.764118        0.00518915
               273             -0.76         -0.764103        0.00517016
               274             -0.84          -0.76438        0.00515871
               275             -0.84         -0.764655        0.00514728
               276             -0.84         -0.764928        0.00513586
               277             -0.76          -0.76491        0.00511735
               278             -0.84          -0.76518        0.00510607
               279             -0.84         -0.765448         0.0050948
               280             -0.76         -0.765429        0.00507664
               281             -0.76         -0.765409        0.00505861
               282             -0.76          -0.76539        0.00504071
               283             -0.76         -0.765371        0.00502294
               284             -0.76         -0.765352        0.00500528
               285             -0.68         -0.765053        0.00499667
               286             -0.76         -0.765035        0.00497923
               287             -0.76         -0.765017        0.00496192
               288             -0.84         -0.765278        0.00495151
               289             -0.92         -0.765813        0.00496324
               290             -0.76         -0.765793        0.00494616
               291             -0.76         -0.765773        0.00492921
               292             -0.76         -0.765753        0.00491237
               293             -0.84         -0.766007        0.00490213
               294             -0.76         -0.765986         0.0048855
               295             -0.68         -0.765695        0.00487763
               296             -0.76         -0.765676        0.00486119
               297             -0.76         -0.765657        0.00484486
               298             -0.76         -0.765638        0.00482864
               299             -0.84         -0.765886        0.00481889
               300             -0.84         -0.766133        0.00480915
               301             -0.76         -0.766113        0.00479322
               302             -0.76         -0.766093        0.00477739
               303              -0.6         -0.765545        0.00479297
               304             -0.68         -0.765263        0.00478545
               305              -0.6         -0.764721        0.00480034
               306              -0.6         -0.764183        0.00481474
               307             -0.76         -0.764169        0.00479908
               308             -0.68         -0.763896        0.00479127
               309             -0.68         -0.763625        0.00478345
               310              -0.6         -0.763097        0.00479705
               311             -0.52         -0.762315         0.0048449
               312              -0.6         -0.761795        0.00485722
               313             -0.76         -0.761789         0.0048417
               314             -0.76         -0.761783        0.00482629
               315             -0.76         -0.761778        0.00481097
               316             -0.76         -0.761772        0.00479575
               317             -0.84         -0.762019        0.00478696
               318             -0.84         -0.762264        0.00477819
               319             -0.84         -0.762508        0.00476942
               320             -0.92            -0.763        0.00477984
               321             -0.92         -0.763489        0.00478991
               322             -0.92         -0.763975        0.00479963
               323             -0.84         -0.764211        0.00479054
               324             -0.84         -0.764444        0.00478146
               325             -0.76         -0.764431        0.00476677
               326             -0.92         -0.764908        0.00477597
               327             -0.92         -0.765382        0.00478486
               328             -0.84          -0.76561        0.00477568
               329             -0.76         -0.765593        0.00476119
               330             -0.76         -0.765576        0.00474679
               331             -0.92         -0.766042        0.00475532
               332             -0.76         -0.766024        0.00474104
               333             -0.76         -0.766006        0.00472683
               334             -0.76         -0.765988        0.00471272
               335             -0.68         -0.765731        0.00470563
               336             -0.68         -0.765476        0.00469854
               337              -0.6         -0.764985        0.00471019
               338              -0.6         -0.764497        0.00472147
               339             -0.52         -0.763776        0.00476231
               340             -0.68         -0.763529        0.00475468
               341             -0.68         -0.763284        0.00474704
               342             -0.76         -0.763275        0.00473317
               343             -0.84         -0.763499        0.00472465
               344             -0.84         -0.763721        0.00471615
               345             -0.76          -0.76371        0.00470249
               346             -0.84         -0.763931        0.00469407
               347             -0.84          -0.76415        0.00468566
               348             -0.84         -0.764368        0.00467726
               349             -0.84         -0.764585        0.00466887
               350             -0.84           -0.7648         0.0046605
               351             -0.76         -0.764786        0.00464725
               352             -0.84            -0.765        0.00463895
               353             -0.76         -0.764986        0.00462583
               354             -0.84         -0.765198        0.00461762
               355             -0.76         -0.765183        0.00460463
               356             -0.84         -0.765393        0.00459649
               357             -0.76         -0.765378        0.00458364
               358             -0.84         -0.765587        0.00457557
