#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
               190              0.08           6.89095          0.649121
               191                 0           6.85487          0.646725
               192                 2           6.82958          0.643851
               193              0.32           6.79585          0.641397
               194                 2           6.77113          0.638567
               195              0.72            6.7401          0.636046
               196                 0           6.70571           0.63373
               197              0.08           6.67208          0.631405
               198                 0           6.63838          0.629115
               199              2.88            6.6195          0.626237
               200              5.12             6.612           0.62315
               201              2.88           6.59343          0.620327
               202              1.28           6.56713          0.617813
               203              0.08           6.53517          0.615596
               204              1.28           6.50941          0.613117
               205              0.72           6.48117          0.610776
               206                 2           6.45942          0.608198
               207                 0           6.42821           0.60606
               208              0.08           6.39769          0.603914
               209              1.28           6.37321          0.601521
               210              0.32           6.34438          0.599347
               211              0.32           6.31583          0.597186
               212              0.08           6.28642          0.595093
               213              1.28           6.26291          0.592763
               214              2.88            6.2471          0.590204
               215              3.92           6.23628          0.587558
               216              2.88           6.22074          0.585044
               217              0.72           6.19539          0.582896
               218              2.88           6.18018          0.580421
               219              6.48           6.18155          0.577772
               220              2.88           6.16655          0.575341
               221              2.88           6.15167           0.57293
               222              3.92           6.14162          0.570437
               223                 2           6.12305          0.568181
               224              3.92           6.11321           0.56573
               225              3.92           6.10347            0.5633
               226                 2           6.08531            0.5611
               227              2.88           6.07119          0.558805
               228              5.12           6.06702           0.55637
               229              5.12           6.06288          0.553956
               230                 8            6.0713          0.551611
               231                 8           6.07965          0.549287
               232              5.12           6.07552          0.546935
               233             15.68           6.11674          0.546138
               234             15.68           6.15761          0.545331
               235             23.12           6.22979          0.547767
               236                32           6.33898          0.556223
               237             28.88           6.43409          0.561949
               238             23.12            6.5042          0.563944
               239                18            6.5523          0.563632
               240             15.68           6.59033          0.562566
               241              9.68           6.60315          0.560377
               242              5.12           6.59702          0.558095
               243              0.72           6.57284          0.556322
               244                 0            6.5459          0.554694
               245              0.72           6.52212           0.55294
               246              0.32           6.49691          0.551266
               247              0.72           6.47352           0.54953
               248              0.08           6.44774          0.547919
               249              5.12           6.44241          0.545744
               250                 8           6.44864          0.543597
               251              6.48           6.44876          0.541431
               252              6.48           6.44889          0.539283
               253                 8           6.45502          0.537186
               254              3.92           6.44504          0.535164
               255              3.92           6.43514          0.533157
               256                 2           6.41781          0.531356
               257              0.72           6.39564           0.52975
               258              0.08           6.37116          0.528262
               259              0.32            6.3478          0.526739
               260                 0           6.32338          0.525279
               261              0.08           6.29946          0.523811
               262              0.72           6.27817          0.522244
               263              3.92            6.2692          0.520335
               264              2.88           6.25636          0.518523
               265              2.88           6.24362          0.516722
               266              1.28           6.22496          0.515117
               267              2.88           6.21243           0.51334
               268              5.12           6.20836           0.51144
               269              3.92           6.19985           0.50961
               270              3.92           6.19141          0.507792
               271              3.92           6.18303          0.505988
               272              9.68           6.19588          0.504291
               273              3.92           6.18755          0.502513
               274              5.12           6.18365          0.500694
               275             13.52           6.21033          0.499583
               276             15.68           6.24464           0.49895
               277                18           6.28708           0.49895
               278             28.88           6.36835          0.503731
               279             28.88           6.44903          0.508346
               280                18           6.49029          0.508202
               281              9.68           6.50164           0.50652
               282             11.52           6.51943          0.505036
               283              3.92           6.51025          0.503335
               284              5.12           6.50535          0.501587
               285                 2           6.48954          0.500076
               286              6.48           6.48951          0.498327
               287             11.52           6.50704          0.496899
               288             11.52           6.52444          0.495479
               289              5.12           6.51958          0.493788
               290              3.92           6.51062          0.492167
               291                 2           6.49512          0.490719
               292                 0           6.47288          0.489543
               293                 0           6.45078           0.48837
               294              0.08           6.42912          0.487189
               295              0.32           6.40841          0.485978
               296              0.08           6.38703          0.484806
               297              1.28           6.36983          0.483479
               298                 0           6.34846          0.482329
               299              2.88           6.33686          0.480855
               300              0.08             6.316          0.479704
               301              0.08           6.29528          0.478558
               302                 2           6.28106          0.477184
               303              6.48           6.28172           0.47561
               304              9.68           6.29289          0.474177
               305              5.12           6.28905          0.472638
               306              0.08           6.26876          0.471528
               307              0.72           6.25068          0.470339
               308              5.12           6.24701          0.468826
               309              5.12           6.24337          0.467323
               310              2.88           6.23252          0.465941
               311              5.12           6.22894          0.464457
               312              5.12           6.22538          0.462982
               313             20.48           6.27093          0.463737
               314             20.48           6.31618          0.464463
               315             20.48           6.36114           0.46516
               316             28.88           6.43241          0.469115
               317             28.88           6.50322          0.472949
               318                18           6.53937          0.472842
               319             23.12           6.59135          0.474208
               320             23.12             6.643           0.47553
               321             25.92           6.70305          0.477826
               322                32           6.78161          0.482757
               323             25.92           6.84087          0.484885
               324                18           6.87531           0.48461
               325             11.52            6.8896           0.48333
               326              9.68           6.89816          0.481923
               327                 8           6.90153          0.480461
               328                 2           6.88659          0.479229
               329              1.28           6.86954          0.478075
               330              6.48           6.86836          0.476628
               331              6.48           6.86719          0.475189
               332              2.88           6.85518           0.47391
               333              0.32           6.83556          0.472893
               334              0.72           6.81725          0.471831
               335                 0            6.7969          0.470861
               336                 2           6.78262          0.469676
               337              0.08           6.76273          0.468703
               338                 2           6.74864          0.467529
               339              0.08           6.72897          0.466563
               340              0.08           6.70941            0.4656
               341              0.32           6.69067          0.464612
               342              3.92           6.68257          0.463324
               343                 2           6.66892          0.462174
               344              0.72           6.65163          0.461154
               345              0.72           6.63443          0.460138
               346              0.32           6.61618           0.45917
               347              0.72           6.59919          0.458161
               348              1.28           6.58391          0.457099
               349              6.48           6.58361           0.45579
               350             13.52           6.60343          0.454918
               351                18            6.6359          0.454779
               352                18           6.66818          0.454632
               353             11.52           6.68193          0.453551
               354              6.48           6.68136          0.452271
               355              1.28           6.66614          0.451252
               356              2.88           6.65551           0.45011
               357                 8           6.65927          0.448865
               358                 8           6.66302          0.447627
               359              6.48           6.66251           0.44638
               360              0.32           6.64489          0.445488
               361              0.32           6.62737          0.444598
               362              3.92           6.61989          0.443433
               363             15.68           6.64485          0.442913
               364             28.88           6.70593          0.445889
               365             23.12            6.7509          0.446929
               366             11.52           6.76393          0.445898
               367              0.72           6.74747          0.444987
               368              1.28           6.73261          0.444026
               369              1.28           6.71783          0.443068
               370              2.88           6.70746          0.441992
               371                 8           6.71094          0.440815
               372             11.52           6.72387          0.439819
               373             20.48           6.76075          0.440184
               374             20.48           6.79743          0.440532
               375             25.92           6.84843          0.442299
               376             15.68           6.87191          0.441746
               377              3.92           6.86408          0.440644
               378              9.68           6.87153          0.439541
               379             13.52           6.88908          0.438731
               380                 8             6.892          0.437586
               381              5.12           6.88735          0.436463
               382                 8           6.89026           0.43533
               383             11.52           6.90235          0.434361
               384             15.68           6.92521          0.433831
               385                18           6.95397          0.433657
               386              2.88           6.94342          0.432662
               387              6.48           6.94222          0.431545
               388                18           6.97072          0.431373
               389             13.52           6.98756          0.430592
               390              3.92           6.97969           0.42956
               391              6.48           6.97841          0.428464
               392              3.92           6.97061          0.427442
               393              6.48           6.96936          0.426356
               394              3.92           6.96162          0.425344
               395                 2           6.94906          0.424452
               396              0.32           6.93232          0.423711
               397              1.28           6.91809          0.422882
               398              2.88           6.90794          0.421942
               399              9.68           6.91489          0.420941
               400              5.12            6.9104          0.419913
               401              5.12           6.90594          0.418889
               402              1.28           6.89194          0.418081
               403              0.32           6.87563          0.417362
               404              1.28           6.86178          0.416558
               405                 2           6.84978          0.415703
               406                 2           6.83783           0.41485
               407              0.72            6.8228          0.414103
               408              0.08           6.80627          0.413418
               409                 0           6.78963          0.412742
               410              0.32           6.77385          0.412037
               411              0.72           6.75912          0.411298
               412              0.32            6.7435          0.410596
               413              0.32           6.72794          0.409896
               414              0.72           6.71343          0.409163
               415              0.72           6.69899          0.408432
               416                 0           6.68288          0.407767
               417              0.32           6.66763          0.407075
               418              0.32           6.65244          0.406384
               419              1.28           6.63962          0.405617
               420              0.72           6.62552          0.404896
               421              1.28           6.61283          0.404133
               422              3.92           6.60645          0.403226
               423              6.48           6.60615          0.402273
               424              9.68            6.6134          0.401389
               425              6.48           6.61308          0.400445
               426              1.28           6.60056            0.3997
               427              3.92           6.59429          0.398814
               428              3.92           6.58804          0.397931
               429                 2           6.57734          0.397147
               430              0.72           6.56372          0.396457
               431                 8           6.56705          0.395551
               432              6.48           6.56685          0.394635
               433              0.72           6.55335          0.393955
               434              1.28            6.5412          0.393235
               435              1.28            6.5291          0.392517
               436              2.88           6.52073          0.391705
               437              3.92           6.51478          0.390854
               438              0.72           6.50155          0.390186
               439              2.88            6.4933          0.389384
               440              5.12           6.49018          0.388512
               441              3.92           6.48435          0.387674
               442              5.12           6.48127           0.38681
               443              5.12           6.47819          0.385949
               444              9.68           6.48541          0.385147
               445             23.12           6.52279          0.386091
               446             23.12              6.56          0.387015
               447             15.68            6.5804          0.386686
               448              3.92           6.57446          0.385869
               449              3.92           6.56855          0.385055
               450              5.12           6.56533          0.384212
               451              3.92           6.55947          0.383405
               452              0.08           6.54513          0.382825
               453              0.08           6.53086          0.382246
               454              2.88           6.52282          0.381488
               455              0.08           6.50866          0.380913
               456              2.88            6.5007           0.38016
               457              5.12           6.49768          0.379341
               458                 2           6.48786          0.378639
               459              2.88              6.48          0.377896
               460              0.08           6.46609          0.377331
               461                 2            6.4564          0.376636
               462              0.72           6.44398          0.376026
               463              2.88           6.43629          0.375292
               464                 2           6.42672          0.374605
               465              2.88            6.4191          0.373877
               466              1.28           6.40807          0.373238
               467              0.72           6.39589          0.372637
               468                 0           6.38222          0.372092
               469              0.32            6.3693          0.371523
               470                 2              6.36          0.370848
               471              0.72           6.34803          0.370254
               472                 8           6.35153          0.369486
               473              6.48            6.3518          0.368705
               474                 8           6.35527          0.367944
               475             13.52           6.37036          0.367478
               476             23.12           6.40555          0.368387
               477             11.52           6.41627          0.367771
               478             15.68           6.43565          0.367512
               479              9.68           6.44242          0.366807
               480             11.52             6.453          0.366195
               481              6.48           6.45306          0.365434
               482             11.52           6.46357          0.364827
               483              6.48            6.4636          0.364072
               484             11.52           6.47405          0.363469
               485              9.68           6.48066           0.36278
               486              5.12           6.47786          0.362044
               487              5.12           6.47507          0.361312
               488              2.88            6.4677          0.360646
               489              2.88           6.46037          0.359983
               490              0.72           6.44865          0.359439
               491                 8           6.45181          0.358721
               492             11.52           6.46211           0.35814
               493             15.68           6.48081          0.357901
               494             15.68           6.49943          0.357661
               495             11.52           6.50958          0.357082
               496             13.52           6.52371          0.356642
               497              5.12           6.52089          0.355935
               498                 8           6.52386          0.355233
               499                 8           6.52681          0.354533
               500                 8           6.52976          0.353837
               501              2.88           6.52248          0.353205
               502              1.28           6.51203          0.352656
               503              0.08           6.49924          0.352187
               504              0.32           6.48698          0.351701
               505              0.72           6.47556           0.35119
               506              0.72           6.46419           0.35068
               507              0.72           6.45286          0.350172
               508              0.08           6.44031          0.349707
               509                 2           6.43159          0.349129
               510              3.92           6.42667          0.348479
               511              1.28           6.41659          0.347942
               512              2.88           6.40969          0.347331
               513              0.32           6.39782          0.346857
               514              0.72           6.38677          0.346358
               515              0.72           6.37577           0.34586
               516              0.08           6.36357          0.345405
               517              0.08           6.35141          0.344951
               518              0.08           6.33931          0.344497
               519              1.28           6.32956          0.343972
               520              0.08           6.31754           0.34352
               521              5.12           6.31524          0.342868
               522              0.08            6.3033          0.342419
               523              0.72           6.29262          0.341931
               524              0.72           6.28198          0.341444
               525              0.08           6.27017          0.340998
               526                 0           6.25825          0.340558
               527                 2           6.25017          0.340007
               528              9.68           6.25667          0.339426
               529                 8           6.25996            0.3388
               530              5.12           6.25781          0.338168
               531              6.48           6.25823          0.337531
               532              6.48           6.25865          0.336897
               533                 2           6.25066          0.336359
               534              9.68           6.25708          0.335791
               535                 8           6.26034          0.335179
               536                 8           6.26358          0.334569
               537              2.88           6.25728          0.334006
               538                 8           6.26052            0.3334
               539              2.88           6.25425          0.332841
               540              2.88             6.248          0.332283
               541             13.52           6.26144          0.331941
               542              6.48           6.26185          0.331329
               543              1.28           6.25267          0.330845
               544                 8           6.25588          0.330253
               545              6.48           6.25629          0.329647
               546             15.68           6.27355          0.329495
               547             11.52           6.28314          0.329032
               548             13.52           6.29635          0.328697
               549              0.72           6.28619          0.328255
               550              1.28           6.27709          0.327784
               551              1.28           6.26802          0.327315
               552              0.72           6.25797          0.326876
               553                 0           6.24665          0.326481
               554              1.28           6.23769          0.326014
               555              0.08           6.22659          0.325616
               556              0.08           6.21554          0.325218
               557              0.32           6.20496          0.324806
               558              0.32           6.19441          0.324395
               559              0.08           6.18347          0.323999
               560                 2             6.176          0.323507
               561              5.12           6.17412          0.322936
               562              3.92           6.17011          0.322386
               563              3.92           6.16611          0.321838
               564              1.28           6.15745          0.321384
               565                 2           6.15009          0.320899
               566              1.28           6.14148          0.320448
               567              0.72           6.13192          0.320025
               568              0.08           6.12127          0.319639
               569                 2           6.11402          0.319159
               570              2.88           6.10835           0.31865
               571                 8           6.11166          0.318109
               572              3.92           6.10783          0.317576
               573              0.72           6.09843          0.317161
               574              0.72           6.08906          0.316747
               575              0.08           6.07861          0.316368
               576              0.08           6.06819           0.31599
               577              1.28            6.0599          0.315552
               578              2.88           6.05439          0.315054
               579              6.48           6.05513           0.31451
               580              9.68           6.06138           0.31403
               581                18           6.08193          0.314161
               582             25.92           6.11601          0.315465
               583             28.88           6.15506          0.317331
               584             25.92            6.1889          0.318588
               585             20.48           6.21333          0.318978
               586             13.52            6.2258          0.318678
               587             20.48           6.25009          0.319059
               588             25.92           6.28354          0.320265
               589             11.52           6.29243          0.319844
               590             15.68           6.30834          0.319698
               591             28.88           6.34653           0.32143
               592                32           6.38986          0.323795
               593             38.72           6.44438          0.327807
               594             23.12           6.47246          0.328455
               595             23.12           6.50044          0.329092
               596             35.28           6.54872          0.332064
               597             25.92           6.58117          0.333089
               598                32           6.62368          0.335233
               599             35.28           6.67152           0.33807
               600                32           6.71373          0.340132
               601                32           6.75581          0.342158
               602             25.92           6.78764          0.343068
               603             23.12           6.81473          0.343566
               604             11.52           6.82252          0.343086
               605             11.52           6.83028          0.342607
               606             13.52           6.84132          0.342219
               607             25.92           6.87275          0.343096
               608             25.92           6.90408          0.343959
               609             25.92            6.9353          0.344808
               610             25.92           6.96643          0.345645
               611             13.52           6.97715          0.345245
               612             23.12           7.00353          0.345687
               613                 8           7.00515          0.345127
               614             11.52           7.01251          0.344643
               615             25.92           7.04325          0.345452
               616             25.92            7.0739          0.346247
               617             28.88           7.10924          0.347485
               618                18           7.12686          0.347369
               619              9.68           7.13099          0.346833
               620              6.48           7.12994          0.346275
               621             13.52           7.14023           0.34587
               622             15.68           7.15395          0.345587
               623              6.48           7.15287          0.345033
               624             15.68           7.16654          0.344751
               625             15.68           7.18016          0.344468
               626                18           7.19744          0.344352
               627             20.48           7.21863          0.344453
               628                 8           7.21987          0.343907
               629              3.92           7.21463            0.3434
               630              2.88           7.20775          0.342924
               631              0.32           7.19683          0.342554
               632              5.12           7.19354          0.342028
               633             13.52           7.20354          0.341634
               634             23.12           7.22864          0.342016
               635             23.12           7.25367          0.342392
               636              9.68           7.25748          0.341875
               637             13.52           7.26732          0.341479
               638              2.88           7.26044          0.341013
               639              6.48           7.25922          0.340482
               640                 8           7.26038          0.339952
               641             11.52           7.26702          0.339486
               642             15.68           7.28012          0.339211
               643             25.92           7.30911          0.339919
               644             23.12           7.33366          0.340277
               645             13.52           7.34326          0.339885
               646             15.68           7.35616          0.339603
               647             13.52           7.36569          0.339212
               648              3.92           7.36037           0.33873
               649              6.48           7.35901          0.338211
               650              5.12           7.35557          0.337708
               651                 8           7.35656          0.337191
               652                 2           7.34834          0.336774
               653              0.08           7.33721          0.336442
               654              0.08           7.32612          0.336111
               655              0.72           7.31603          0.335749
               656              2.88           7.30927          0.335305
               657              1.28           7.30009           0.33492
               658                 0             7.289          0.334595
