#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               175              0.36          0.111771         0.0270764
               176              0.32          0.112955         0.0269484
               177              0.36           0.11435         0.0268323
               178              0.44           0.11618         0.0267438
               179              0.64          0.119106          0.026754
               180              0.48          0.121111         0.0266804
               181              0.48          0.123094         0.0266066
               182              0.16          0.123297         0.0264612
               183              0.08           0.12306         0.0263176
               184             -0.28           0.12087         0.0262656
               185             -0.12          0.119568         0.0261559
               186             -0.28          0.117419         0.0261033
               187             -0.16          0.115936         0.0260059
               188              0.12          0.115957         0.0258675
               189              0.08          0.115767         0.0257314
               190              0.04          0.115368          0.025599
               191                 0          0.114764         0.0254721
               192              -0.2          0.113125         0.0253922
               193             -0.08          0.112124         0.0252803
               194               0.2          0.112577         0.0251541
               195              0.12          0.112615         0.0250251
               196                 0          0.112041          0.024904
               197             -0.04          0.111269         0.0247896
               198                 0          0.110707         0.0246707
               199             -0.24          0.108945         0.0246096
               200             -0.32            0.1068         0.0245798
               201             -0.24          0.105075          0.024518
               202             -0.16          0.103762         0.0244318
               203              0.04          0.103448         0.0243134
               204             -0.16          0.102157         0.0242285
               205             -0.12          0.101073         0.0241345
               206              -0.2         0.0996117         0.0240616
               207                 0         0.0991304         0.0239502
               208             -0.04         0.0984615         0.0238444
               209             -0.16         0.0972249         0.0237623
               210              0.08         0.0971429         0.0236493
               211             -0.08         0.0963033         0.0235521
               212             -0.04         0.0956604         0.0234498
               213             -0.16         0.0944601         0.0233704
               214             -0.24         0.0928972         0.0233134
               215             -0.28         0.0911628         0.0232694
               216             -0.24         0.0896296         0.0232121
               217             -0.12         0.0886636         0.0231252
               218             -0.24          0.087156         0.0230683
               219             -0.36         0.0851142         0.0230531
               220             -0.24         0.0836364         0.0229956
               221             -0.24         0.0821719         0.0229382
               222             -0.28         0.0805405         0.0228928
               223              -0.2         0.0792825         0.0228247
               224             -0.28         0.0776786         0.0227791
               225             -0.28         0.0760889         0.0227332
               226              -0.2         0.0748673         0.0226654
               227             -0.24         0.0734802          0.022608
               228             -0.32         0.0717544         0.0225746
               229             -0.32         0.0700437         0.0225407
               230              -0.4             0.068         0.0225352
               231              -0.4          0.065974         0.0225285
               232             -0.32         0.0643103         0.0224928
               233             -0.56         0.0616309         0.0225553
               234             -0.56         0.0589744         0.0226148
               235             -0.68         0.0558298         0.0227361
               236              -0.8         0.0522034         0.0229272
               237             -0.76         0.0487764         0.0230851
               238             -0.68         0.0457143         0.0231903
               239              -0.6         0.0430126         0.0232501
               240             -0.56            0.0405         0.0232886
               241             -0.44         0.0385062         0.0232772
               242             -0.32         0.0370248         0.0232281
               243             -0.12         0.0363786         0.0231415
               244                 0         0.0362295         0.0230471
               245              0.12         0.0365714         0.0229556
               246              0.08          0.036748          0.022863
               247              0.12          0.037085         0.0227729
               248             -0.04         0.0367742         0.0226832
               249             -0.32         0.0353414         0.0226373
               250              -0.4            0.0336         0.0226136
               251             -0.36         0.0320319         0.0225778
               252             -0.36         0.0304762         0.0225418
               253              -0.4         0.0287747         0.0225168
               254             -0.28         0.0275591         0.0224609
               255             -0.28         0.0263529         0.0224052
               256              -0.2         0.0254688         0.0223351
               257             -0.12         0.0249027         0.0222554
               258             -0.04         0.0246512         0.0221705
               259             -0.08         0.0242471         0.0220886
               260                 0         0.0241538         0.0220039
               261              0.04         0.0242146         0.0219196
               262             -0.12         0.0236641         0.0218429
               263             -0.28         0.0225095         0.0217903
               264             -0.24         0.0215152         0.0217305
               265             -0.24         0.0205283         0.0216709
               266             -0.16         0.0198496            0.0216
               267             -0.24         0.0188764          0.021541
               268             -0.32         0.0176119         0.0214977
               269             -0.28         0.0165056         0.0214463
               270             -0.28         0.0154074         0.0213949
               271             -0.28         0.0143173         0.0213437
               272             -0.44         0.0126471         0.0213305
               273             -0.28         0.0115751         0.0212793
               274             -0.32          0.010365          0.021236
               275             -0.52        0.00843636         0.0212462
               276             -0.56        0.00637681         0.0212688
               277              -0.6        0.00418773         0.0213044
               278             -0.76        0.00143885         0.0214044
               279             -0.76       -0.00129032         0.0215009
               280              -0.6       -0.00342857         0.0215302
               281             -0.44       -0.00498221         0.0215096
               282             -0.48       -0.00666667         0.0214992
               283             -0.28       -0.00763251         0.0214449
               284             -0.32       -0.00873239         0.0213975
               285              -0.2       -0.00940351          0.021333
               286             -0.36        -0.0106294         0.0212936
               287             -0.48        -0.0122648         0.0212821
               288             -0.48        -0.0138889         0.0212701
               289             -0.32        -0.0149481         0.0212228
               290             -0.28        -0.0158621         0.0211693
               291              -0.2        -0.0164948          0.021106
               292                 0        -0.0164384         0.0210338
               293                 0        -0.0163823         0.0209621
               294              0.04        -0.0161905         0.0208917
               295              0.08        -0.0158644         0.0208234
               296              0.04        -0.0156757         0.0207539
               297             -0.16        -0.0161616         0.0206897
               298                 0        -0.0161074         0.0206204
               299              0.24        -0.0152508         0.0205692
               300              0.04        -0.0150667         0.0205015
               301             -0.04        -0.0151495         0.0204335
               302               0.2        -0.0144371         0.0203783
               303              0.36        -0.0132013         0.0203485
               304              0.44        -0.0117105         0.0203361
               305              0.32         -0.010623         0.0202984
               306              0.04        -0.0104575         0.0202328
               307              0.12        -0.0100326         0.0201713
               308              0.32       -0.00896104         0.0201343
               309              0.32       -0.00789644         0.0200973
               310              0.24       -0.00709677         0.0200483
               311              0.32       -0.00604502         0.0200114
               312              0.32            -0.005         0.0199746
               313              0.64        -0.0029393         0.0200168
               314              0.64       -0.00089172         0.0200575
               315              0.64        0.00114286         0.0200967
               316              0.76         0.0035443         0.0201761
               317              0.76         0.0059306         0.0202531
               318               0.6        0.00779874         0.0202754
               319              0.68        0.00990596          0.020321
               320              0.68             0.012         0.0203651
               321              0.72         0.0142056         0.0204208
               322               0.8          0.016646         0.0205026
               323              0.72         0.0188235         0.0205545
               324               0.6         0.0206173         0.0205691
               325              0.48         0.0220308         0.0205544
               326              0.44         0.0233129         0.0205313
               327               0.4         0.0244648         0.0205008
               328               0.2             0.025         0.0204453
               329              0.16         0.0254103         0.0203872
               330              0.36         0.0264242         0.0203506
               331              0.36          0.027432         0.0203141
               332              0.24         0.0280723          0.020263
               333             -0.08         0.0277477         0.0202047
               334             -0.12         0.0273054         0.0201491
               335                 0         0.0272239         0.0200891
               336               0.2         0.0277381         0.0200359
               337              0.04         0.0277745         0.0199765
               338               0.2          0.028284         0.0199239
               339              0.04         0.0283186         0.0198651
               340             -0.04         0.0281176         0.0198077
               341              0.08         0.0282698         0.0197502
               342              0.28         0.0290058         0.0197062
               343               0.2         0.0295044          0.019655
               344              0.12         0.0297674         0.0195997
               345             -0.12         0.0293333         0.0195477
               346             -0.08         0.0290173         0.0194937
               347             -0.12         0.0285879         0.0194423
               348             -0.16          0.028046         0.0193939
               349             -0.36         0.0269341         0.0193702
               350             -0.52         0.0253714         0.0193778
               351              -0.6         0.0235897         0.0194043
               352              -0.6         0.0218182         0.0194299
               353             -0.48         0.0203966         0.0194268
               354             -0.36          0.019322         0.0194016
               355             -0.16         0.0188169         0.0193535
               356             -0.24         0.0180899         0.0193128
               357              -0.4         0.0169188         0.0192942
               358              -0.4         0.0157542         0.0192754
               359             -0.36         0.0147075         0.0192501
               360              0.08         0.0148889         0.0191975
               361             -0.08          0.014626         0.0191461
               362             -0.28         0.0138122         0.0191105
               363             -0.56         0.0122314         0.0191232
               364             -0.76         0.0101099         0.0191879
               365             -0.68        0.00821918         0.0192283
               366             -0.48        0.00688525          0.019222
               367             -0.12        0.00653951         0.0191727
               368             -0.16        0.00608696          0.019126
               369             -0.16        0.00563686         0.0190794
               370             -0.24        0.00497297         0.0190394
               371              -0.4         0.0038814         0.0190193
               372             -0.48        0.00258065         0.0190126
               373             -0.64       0.000857909         0.0190396
               374             -0.64      -0.000855615         0.0190656
               375             -0.72       -0.00277333          0.019111
               376             -0.56       -0.00425532         0.0191175
               377             -0.28       -0.00498674         0.0190808
               378             -0.44       -0.00613757          0.019065
               379             -0.52        -0.0074934         0.0190628
               380              -0.4       -0.00852632         0.0190406
               381             -0.32       -0.00934383         0.0190082
               382              -0.4        -0.0103665         0.0189859
               383             -0.48        -0.0115927         0.0189759
               384             -0.56        -0.0130208         0.0189802
               385              -0.6        -0.0145455          0.018992
               386             -0.24        -0.0151295         0.0189518
               387             -0.36        -0.0160207         0.0189237
               388              -0.6        -0.0175258         0.0189347
               389             -0.52        -0.0188175         0.0189301
               390             -0.28        -0.0194872         0.0188934
               391             -0.36        -0.0203581         0.0188651
               392             -0.28        -0.0210204         0.0188286
               393             -0.36         -0.021883         0.0188004
               394             -0.28        -0.0225381         0.0187641
               395              -0.2        -0.0229873          0.018722
               396             -0.08        -0.0231313         0.0186753
               397             -0.16        -0.0234761         0.0186314
               398             -0.24        -0.0240201         0.0185926
               399             -0.44        -0.0250627         0.0185752
               400             -0.32           -0.0258         0.0185434
               401             -0.32        -0.0265337         0.0185116
               402             -0.16        -0.0268657         0.0184685
               403             -0.08        -0.0269975         0.0184232
               404             -0.16        -0.0273267         0.0183805
               405              -0.2        -0.0277531         0.0183401
               406              -0.2        -0.0281773         0.0182998
               407             -0.12        -0.0284029         0.0182562
               408             -0.04        -0.0284314         0.0182115
               409                 0        -0.0283619         0.0181671
               410             -0.08        -0.0284878         0.0181233
               411             -0.12        -0.0287105         0.0180805
               412             -0.08         -0.028835         0.0180371
               413             -0.08        -0.0289588         0.0179938
               414             -0.12        -0.0291787         0.0179517
               415             -0.12        -0.0293976         0.0179098
               416                 0        -0.0293269         0.0178669
               417             -0.08        -0.0294484         0.0178244
               418              0.08        -0.0291866         0.0177837
               419              0.16        -0.0287351          0.017747
               420              0.12         -0.028381         0.0177083
               421              0.16        -0.0279335         0.0176719
               422              0.28        -0.0272038         0.0176451
               423              0.36        -0.0262884         0.0176271
               424              0.44        -0.0251887         0.0176198
               425              0.36        -0.0242824         0.0176016
               426              0.16        -0.0238498         0.0175656
               427              0.28        -0.0231382         0.0175389
               428              0.28        -0.0224299         0.0175122
               429               0.2        -0.0219114          0.017479
               430              0.12        -0.0215814         0.0174415
               431               0.4        -0.0206032         0.0174284
               432              0.36        -0.0197222         0.0174104
               433              0.12        -0.0193995         0.0173731
               434              0.16        -0.0189862          0.017338
               435              0.16        -0.0185747          0.017303
               436              0.24        -0.0179817         0.0172735
               437              0.28        -0.0172998         0.0172474
               438              0.12        -0.0169863         0.0172109
               439              0.24        -0.0164009         0.0171817
               440              0.32        -0.0156364         0.0171596
               441              0.28         -0.014966         0.0171338
               442              0.32        -0.0142081         0.0171118
               443              0.32        -0.0134537         0.0170898
               444              0.44        -0.0124324         0.0170818
               445              0.68        -0.0108764         0.0171141
               446              0.68       -0.00932735         0.0171457
               447              0.56       -0.00805369         0.0171546
               448              0.28       -0.00741071         0.0171283
               449              0.28        -0.0067706         0.0171022
               450              0.32       -0.00604444         0.0170796
               451              0.28        -0.0054102         0.0170535
               452             -0.04       -0.00548673         0.0170159
               453             -0.04       -0.00556291         0.0169785
               454             -0.24        -0.0060793          0.016949
               455              0.04       -0.00597802          0.016912
               456              0.24        -0.0054386         0.0168835
               457              0.32       -0.00472648         0.0168616
               458               0.2       -0.00427948         0.0168307
               459              0.24       -0.00374728         0.0168025
               460             -0.04       -0.00382609         0.0167661
               461              -0.2       -0.00425163         0.0167351
               462             -0.12       -0.00450216         0.0167008
               463             -0.24        -0.0050108         0.0166725
               464              -0.2       -0.00543103         0.0166418
               465             -0.24       -0.00593548         0.0166137
               466             -0.16       -0.00626609         0.0165813
               467             -0.12       -0.00650964         0.0165476
               468                 0       -0.00649573         0.0165122
               469              0.08        -0.0063113         0.0164781
               470               0.2       -0.00587234         0.0164489
               471              0.12        -0.0056051         0.0164161
               472               0.4       -0.00474576         0.0164038
               473              0.36       -0.00397463         0.0163872
               474               0.4       -0.00312236         0.0163748
               475              0.52       -0.00202105         0.0163773
               476              0.68      -0.000588235         0.0164055
