#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.04712     2.04712           0
           2     2.02025     2.03368  0.00949903
           3     2.04972     2.03903  0.00769061
           4     2.02339     2.03512   0.0066888
           5     2.02942     2.03398  0.00544714
           6     2.06632     2.03937  0.00669491
           7      2.0953     2.04736  0.00936269
           8     2.07408      2.0507  0.00876767
           9     2.14011     2.06063   0.0121844
          10     2.14157     2.06873   0.0133869
          11     2.13413     2.07467   0.0134254
          12     2.15953     2.08174   0.0140459
          13     2.16807     2.08838   0.0144501
          14     2.16351     2.09375   0.0143799
          15     2.19718     2.10065   0.0149834
          16     2.20956     2.10745   0.0155164
          17     2.23721     2.11509   0.0163738
          18     2.22863     2.12139   0.0166349
          19     2.24952     2.12814   0.0170717
          20     2.21116     2.13229   0.0167152
          21     2.25294     2.13803   0.0168777
          22     2.24717       2.143   0.0168238
          23     2.23799     2.14713   0.0165916
          24     2.26264     2.15194   0.0165837
          25     2.24498     2.15566   0.0163326
          26      2.2404     2.15892   0.0160264
          27       2.198     2.16037    0.015498
          28     2.20025     2.16179   0.0150098
          29     2.20661     2.16334   0.0145716
          30     2.20506     2.16473   0.0141521
          31      2.2387     2.16711   0.0138953
          32     2.25586     2.16989   0.0137351
          33     2.27871     2.17318    0.013709
          34     2.35269     2.17846   0.0142863
          35     2.39374     2.18462   0.0151445
          36     2.44416     2.19183   0.0163501
          37     2.52108     2.20072   0.0181691
          38     2.52406     2.20923   0.0195823
          39     2.60054     2.21927   0.0214976
          40     2.65146     2.23007   0.0235192
          41     2.70569     2.24167   0.0256474
          42     2.78411     2.25459    0.028101
          43     2.94104     2.27055   0.0316589
          44     3.00652     2.28728   0.0350808
          45     3.05914     2.30443   0.0382654
          46     3.11097     2.32196   0.0412555
          47      3.1933      2.3405    0.044348
          48      3.2299     2.35903   0.0471363
          49     2.96627     2.37142   0.0477756
          50     3.08752     2.38575   0.0489197
