# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
        0.08           0           0           0
        0.24        0.53        0.53           0
         0.4        1.13        1.13           0
        0.56        1.88        1.88           0
        0.72         3.2         3.2           0
        0.88        3.12        3.12           0
        1.04        6.41        6.41           0
         1.2       10.07       10.07           0
        1.36        5.65        5.65           0
        1.52        7.88        7.88           0
        1.68        8.51        8.51           0
        1.84        9.27        9.27           0
           2       13.82       13.82           0
        2.16        5.26        5.26           0
        2.32        4.23        4.23           0
        2.48        5.08        5.08           0
        2.64         5.6         5.6           0
         2.8         4.6         4.6           0
        2.96        2.76        2.76           0
        3.12        2.43        2.43           0
        3.28        3.67        3.67           0
        3.44        1.56        1.56           0
         3.6        1.34        1.34           0
        3.76           0           0           0
        3.92           0           0           0
        4.08           0           0           0
        4.24           0           0           0
         4.4           0           0           0
        4.56           0           0           0
        4.72           0           0           0
        4.88           0           0           0
        5.04           0           0           0
         5.2           0           0           0
        5.36           0           0           0
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0           0           0
        0.24           0       0.265    0.187383
         0.4        1.18       1.155   0.0176777
        0.56        3.86        2.87    0.700036
        0.72        1.96        2.58    0.438406
        0.88        4.03       3.575    0.321734
        1.04        5.61        6.01    0.282843
         1.2       10.43       10.25    0.127279
        1.36        4.37        5.01    0.452548
        1.52        6.77       7.325    0.392444
        1.68       10.17        9.34    0.586899
        1.84       12.58      10.925     1.17026
           2        9.51      11.665     1.52382
        2.16        7.11       6.185    0.654074
        2.32        3.58       3.905     0.22981
        2.48        6.51       5.795    0.505581
        2.64        6.13       5.865    0.187383
         2.8        2.03       3.315    0.908632
        2.96        2.89       2.825   0.0459619
        3.12        3.71        3.07    0.452548
        3.28        3.56       3.615   0.0388909
        3.44        0.01       0.785    0.548008
         3.6        1.81       1.575     0.16617
        3.76        0.19       0.095   0.0671751
        3.92           0           0           0
        4.08           0           0           0
        4.24           0           0           0
         4.4           0           0           0
        4.56           0           0           0
        4.72           0           0           0
        4.88           0           0           0
        5.04           0           0           0
         5.2           0           0           0
        5.36           0           0           0
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0           0           0
        0.24           0    0.176667    0.144248
         0.4        1.08        1.13   0.0235702
        0.56        4.19        3.31    0.588954
        0.72        0.73     1.96333    0.582186
        0.88        1.96     3.03667    0.489088
        1.04        8.71        6.91    0.758654
         1.2        7.92     9.47333    0.639797
        1.36        6.71     5.57667    0.552355
        1.52        7.07        7.24    0.270678
        1.68        9.43        9.37    0.392032
        1.84       12.63     11.4933    0.907749
           2        12.4       11.91     1.03539
        2.16        7.37        6.58    0.542361
        2.32        1.37        3.06    0.706745
        2.48        7.16        6.25     0.50162
        2.64        5.78     5.83667    0.127046
         2.8        1.26        2.63    0.824473
        2.96        3.17        2.94   0.0987702
        3.12        3.22        3.12    0.304448
        3.28        1.62        2.95    0.543589
        3.44        1.26    0.943333    0.387537
         3.6        1.06     1.40333    0.178658
        3.76        0.75    0.313333    0.183807
        3.92        1.15    0.383333     0.31299
        4.08           0           0           0
        4.24           0           0           0
         4.4           0           0           0
        4.56           0           0           0
        4.72           0           0           0
        4.88           0           0           0
        5.04           0           0           0
         5.2           0           0           0
        5.36           0           0           0
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0           0           0
        0.24           0      0.1325    0.114748
         0.4           2      1.3475    0.189188
        0.56        1.37       2.825    0.609534
        0.72        2.51         2.1    0.452396
        0.88        3.26      3.0925    0.369989
        1.04        6.57       6.825    0.573732
         1.2        9.13      9.3875    0.485572
        1.36        7.06      5.9475     0.52417
        1.52        7.08         7.2    0.205943
        1.68       10.61        9.68    0.398152
        1.84       10.84       11.33    0.695351
           2        12.3     12.0075    0.781116
        2.16        6.76       6.625    0.408633
        2.32        2.74        2.98    0.534568
        2.48        5.49        6.06    0.410625
        2.64        5.51       5.755    0.118664
         2.8        3.33       2.805    0.636656
        2.96        3.34        3.04    0.113963
        3.12        3.61      3.2425    0.251778
        3.28        0.82      2.4175    0.615532
        3.44        1.55       1.095    0.318953
         3.6        0.12      1.0825    0.308472
        3.76        0.82        0.44    0.176175
        3.92        0.54      0.4225    0.237181
        4.08        0.64        0.16    0.138564
        4.24           0           0           0
         4.4           0           0           0
        4.56           0           0           0
        4.72           0           0           0
        4.88           0           0           0
        5.04           0           0           0
         5.2           0           0           0
        5.36           0           0           0
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0           0           0
        0.24           0       0.106   0.0948093
         0.4        0.47       1.172    0.218053
        0.56        2.28       2.716    0.497277
        0.72        2.99       2.278    0.395387
        0.88        4.55       3.384    0.394447
        1.04        6.47       6.754    0.463358
         1.2        6.35        8.78     0.66794
        1.36        9.41        6.64    0.747989
        1.52        5.83       6.926    0.295305
        1.68       12.63       10.27    0.616389
