#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.36475     1.36475           0
           2     1.34683     1.35579  0.00633269
           3     1.36648     1.35935  0.00512707
           4     1.34892     1.35675   0.0044592
           5     1.35295     1.35599  0.00363143
           6     1.37755     1.35958  0.00446328
           7     1.39687     1.36491  0.00624179
           8     1.38272     1.36713  0.00584512
           9     1.42674     1.37376  0.00812292
          10     1.42771     1.37915  0.00892459
          11     1.42275     1.38312  0.00895027
          12     1.43969     1.38783  0.00936397
          13     1.44538     1.39226   0.0096334
          14     1.44234     1.39583  0.00958659
          15     1.46478     1.40043  0.00998891
          16     1.47304     1.40497   0.0103443
          17     1.49147     1.41006   0.0109158
          18     1.48575     1.41426   0.0110899
          19     1.49968     1.41876   0.0113811
          20     1.47411     1.42153   0.0111435
          21     1.50196     1.42536   0.0112518
          22     1.49811     1.42866   0.0112158
          23     1.49199     1.43142    0.011061
          24     1.50843     1.43463   0.0110558
          25     1.49666     1.43711   0.0108884
          26      1.4936     1.43928   0.0106842
          27     1.46533     1.44024    0.010332
          28     1.46683     1.44119   0.0100066
          29     1.47107     1.44222  0.00971439
          30     1.47004     1.44315  0.00943472
          31     1.49247     1.44474  0.00926353
          32     1.50391     1.44659   0.0091567
          33     1.51914     1.44879  0.00913931
          34     1.56846     1.45231   0.0095242
          35     1.59583     1.45641   0.0100963
          36     1.62944     1.46122      0.0109
          37     1.68072     1.46715   0.0121128
          38     1.68271     1.47282   0.0130549
          39      1.7337     1.47951   0.0143317
          40     1.76764     1.48671   0.0156795
          41      1.8038     1.49445   0.0170983
          42     1.85607     1.50306    0.018734
          43     1.96069      1.5137   0.0211059
          44     2.00435     1.52485   0.0233872
          45     2.03942     1.53629   0.0255103
          46     2.07398     1.54798   0.0275037
          47     2.12887     1.56033   0.0295653
          48     2.15327     1.57269   0.0314242
          49     1.97752     1.58095   0.0318504
          50     2.05835      1.5905   0.0326131
