#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.05237     2.05237           0
           2     2.12438     2.08838   0.0254586
           3     2.16764      2.1148   0.0274484
           4     2.21271     2.13928   0.0295504
           5     2.17152     2.14572   0.0243339
           6     2.18704     2.15261   0.0212303
           7     2.17978     2.15649   0.0185489
           8     2.17286     2.15854   0.0163427
           9     2.15098      2.1577   0.0145484
          10     2.17665     2.15959   0.0132164
          11     2.20611     2.16382   0.0126733
          12      2.1935      2.1663   0.0118561
          13     2.20288     2.16911   0.0112732
          14     2.20223     2.17148   0.0107134
          15     2.17751     2.17188   0.0100067
          16     2.19283     2.17319  0.00946654
          17     2.17415     2.17324  0.00890986
          18     2.18134     2.17369   0.0084262
          19     2.16129     2.17304  0.00800797
          20     2.16949     2.17286  0.00760954
          21     2.17819     2.17312  0.00725141
          22     2.18562     2.17368  0.00694403
          23     2.21028     2.17528  0.00682195
          24     2.17953     2.17545     0.00654
          25      2.1821     2.17572   0.0062838
          26     2.17805     2.17581  0.00604276
          27     2.18906      2.1763  0.00583886
          28     2.16341     2.17584  0.00564846
          29     2.18778     2.17625  0.00546868
          30     2.21067      2.1774   0.0054054
          31     2.17602     2.17735  0.00523121
          32     2.17784     2.17737  0.00506776
          33     2.19447     2.17789  0.00494061
          34     2.21447     2.17896  0.00491107
          35     2.18278     2.17907  0.00477197
          36     2.16337     2.17864   0.0046593
          37     2.18203     2.17873  0.00453427
          38     2.18027     2.17877  0.00441513
          39      2.2027     2.17938  0.00434434
          40     2.19227      2.1797  0.00424766
          41     2.20241     2.18026  0.00417999
          42     2.17032     2.18002  0.00408716
          43     2.19182      2.1803   0.0040013
          44     2.17898     2.18027  0.00391047
          45     2.18986     2.18048  0.00382939
          46      2.1935     2.18076  0.00375659
          47     2.18444     2.18084  0.00367748
          48     2.16831     2.18058  0.00361012
          49     2.16439     2.18025  0.00355153
          50     2.14708     2.17959   0.0035419
