# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
        1.68       5.968      2.9574    0.799609
        1.84        6.48      3.9356     1.03536
           2       9.087      5.4342     1.39074
        2.16       7.258      5.7578     1.11345
        2.32       6.694     19.8938     6.54105
        2.48       8.212     12.5468     1.40374
        2.64       9.526     18.7962     4.83738
         2.8       6.403      8.2848    0.652331
        2.96       6.182      5.1862    0.934221
        3.12       7.172       4.269     1.02266
        3.28       5.012      3.5248     1.00028
        3.44       4.135      2.1842    0.674992
         3.6       1.762       1.533    0.431263
        3.76       1.489      0.7804    0.219458
        3.92        2.25       0.983    0.381989
        4.08       0.867      0.7222    0.315629
        4.24       0.357        0.55     0.18486
         4.4       0.197      0.1568   0.0681771
        4.56       1.351      0.3376    0.232005
        4.72       0.287      0.0758   0.0498417
        4.88           0           0           0
        5.04           0           0           0
         5.2           0           0           0
        5.36           0           0           0
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0 0.000333333  0.00030429
        0.24       0.025   0.0351667   0.0180176
         0.4        0.19    0.278333    0.111765
        0.56       1.546    0.503167    0.205334
        0.72       2.984     1.03067    0.411104
        0.88       1.758      1.2865    0.293083
        1.04       1.811      1.3125    0.346458
         1.2       2.919     1.82617    0.421834
        1.36       3.131     2.67717    0.723416
        1.52       4.552     2.61133    0.706538
        1.68       3.868     3.10917    0.680591
        1.84       7.002     4.44667    0.980859
           2      10.908      6.3465     1.42714
        2.16       6.793     5.93033    0.941146
        2.32       8.978     18.0745     5.69826
        2.48       6.389     11.5205     1.49871
        2.64       9.305     17.2143     4.28199
         2.8       7.154     8.09633    0.570185
        2.96       5.849     5.29667    0.785022
        3.12       4.077       4.237    0.852719
        3.28       4.085     3.61817     0.83791
        3.44       1.766      2.1145     0.56608
         3.6       2.101     1.62767     0.36963
        3.76       2.973     1.14583    0.380434
        3.92       3.575       1.415    0.506804
        4.08       1.887    0.916333    0.317157
        4.24       0.571      0.5535    0.154083
         4.4       0.126    0.151667   0.0570071
        4.56       0.473    0.360167    0.194432
        4.72       0.251       0.105   0.0493525
        4.88       0.294       0.049   0.0447307
        5.04       0.368   0.0613333   0.0559894
         5.2       0.182   0.0303333   0.0276904
