1.13864 0.304979 -0.0902096 5
1.28521 0.70149 0.875833 4.5
0.404715 1.65154 3.29895 4.05
0.881126 1.15851 0.967788 3.645
1.21517 0.86147 1.08851 3.2805
0.27906 1.16642 1.85398 2.95245
1.69778 1.01997 6.96748 2.65721
1.89708 0.378372 5.9897 2.39148
1.40653 0.708102 1.81652 2.15234
0.964897 0.878291 0.216683 1.9371
1.41035 0.42611 0.896798 1.74339
0.460735 0.810871 -0.12443 1.56905
0.242307 0.424827 2.68018 1.41215
0.734539 0.234044 -0.0618284 1.27093
0.686932 0.806049 -0.414197 1.14384
0.650149 0.734146 -0.423911 1.02946
0.694442 0.962203 -0.277688 0.92651
1.49687 0.185015 1.02518 0.833859
0.867795 0.158484 -0.208258 0.750473
1.34749 0.14871 0.383964 0.675426
0.513084 0.846434 -0.313503 0.607883
0.573962 1.01643 -0.242528 0.547095
0.727473 0.227784 -0.0411403 0.492385
0.709075 0.734709 -0.388492 0.443147
1.18403 0.648754 0.448979 0.398832
0.389695 0.763813 0.379908 0.358949
1.05495 0.169014 -0.241409 0.323054
0.62458 0.819334 -0.440133 0.290749
1.01791 0.314314 -0.233268 0.261674
0.791458 0.221755 -0.12657 0.235506
0.854696 0.830951 -0.151446 0.211956
0.499418 0.860913 -0.263779 0.19076
0.813263 0.469037 -0.265626 0.171684
0.840256 0.391047 -0.234251 0.154516
0.950966 0.0576578 -0.240494 0.139064
0.579073 0.647948 -0.357932 0.125158
0.932686 0.627856 -0.214173 0.112642
0.621268 0.749437 -0.434275 0.101378
1.11778 0.139969 -0.203315 0.09124
0.633296 0.569812 -0.297602 0.082116
0.608794 0.860159 -0.430482 0.0739044
0.56912 0.773654 -0.421232 0.066514
0.774188 0.638737 -0.345338 0.0598626
0.689449 0.773766 -0.417475 0.0538763
0.547851 0.863712 -0.380616 0.0484887
0.75111 0.633392 -0.345081 0.0436398
0.623946 0.743214 -0.432644 0.0392758
0.603773 0.757588 -0.434005 0.0353483
0.616646 0.876957 -0.423595 0.0318134
0.634652 0.765917 -0.440731 0.0286321
0.633126 0.755299 -0.43563 0.0257689
0.646325 0.779005 -0.434488 0.023192
0.581971 0.836268 -0.430925 0.0208728
0.652198 0.789246 -0.437667 0.0187855
0.595823 0.725695 -0.419081 0.016907
0.688212 0.770191 -0.41388 0.0152163
0.628384 0.740815 -0.43449 0.0136946
0.656728 0.774901 -0.433076 0.0123252
0.68735 0.781828 -0.418306 0.0110927
0.655288 0.782992 -0.434365 0.00998339
0.617266 0.815812 -0.438593 0.00898505
0.609443 0.755154 -0.439365 0.00808655
0.63436 0.78312 -0.439207 0.00727789
0.594999 0.793617 -0.441205 0.0065501
0.608097 0.798258 -0.444958 0.00589509
0.623613 0.773194 -0.442856 0.00530558
