# Temp | Energy | Cv | Chi | Mag | Err_En | Err_Cv | Err_Chi | Err_Mag QUESTA CI HA MESSO 30 MIN MENTRE QUELLA DA 50 BLOCCHI E 20K PASSI CI HA MESSO MENO PARADOSSALMENTE. pERCHè???
3.000000  -0.462187  0.196608  0.054326  0.027451  0.000110  0.000202  0.000084  0.000374
2.949091  -0.326683  0.102802  0.039355  0.013349  0.000112  0.000110  0.000048  0.000244
2.898182  -0.331984  0.106130  0.039937  0.014039  0.000118  0.000110  0.000056  0.000239
2.847273  -0.337369  0.109474  0.040377  0.014357  0.000114  0.000097  0.000048  0.000251
2.796364  -0.343065  0.112904  0.040910  0.014814  0.000105  0.000098  0.000054  0.000282
2.745455  -0.348946  0.116517  0.041426  0.015228  0.000106  0.000110  0.000054  0.000246
2.694545  -0.355061  0.120503  0.042001  0.015709  0.000108  0.000121  0.000060  0.000292
2.643636  -0.361125  0.124525  0.042610  0.016215  0.000108  0.000116  0.000054  0.000256
2.592727  -0.367586  0.128806  0.043267  0.016958  0.000098  0.000146  0.000054  0.000263
2.541818  -0.374278  0.133206  0.043896  0.017491  0.000107  0.000137  0.000056  0.000263
2.490909  -0.381152  0.137872  0.044661  0.018019  0.000104  0.000148  0.000057  0.000292
2.440000  -0.388259  0.142837  0.045275  0.018714  0.000105  0.000152  0.000060  0.000329
2.389091  -0.395811  0.147937  0.046121  0.019660  0.000095  0.000166  0.000062  0.000289
2.338182  -0.403376  0.153269  0.047089  0.020448  0.000103  0.000168  0.000070  0.000278
2.287273  -0.411425  0.158898  0.048027  0.021180  0.000106  0.000185  0.000072  0.000357
2.236364  -0.419652  0.164852  0.048872  0.022572  0.000113  0.000167  0.000072  0.000344
2.185455  -0.428178  0.171202  0.050082  0.023091  0.000116  0.000163  0.000070  0.000318
2.134545  -0.437044  0.177677  0.051130  0.024818  0.000116  0.000187  0.000081  0.000325
2.083636  -0.446307  0.184566  0.052302  0.025089  0.000127  0.000214  0.000070  0.000348
2.032727  -0.455740  0.192053  0.053589  0.026479  0.000107  0.000198  0.000075  0.000420
1.981818  -0.465868  0.199447  0.054872  0.028007  0.000109  0.000240  0.000077  0.000398
1.930909  -0.476112  0.207279  0.056348  0.029110  0.000119  0.000262  0.000104  0.000379
1.880000  -0.486974  0.216169  0.058093  0.031174  0.000121  0.000260  0.000104  0.000435
1.829091  -0.498108  0.225017  0.059656  0.033025  0.000114  0.000275  0.000081  0.000401
1.778182  -0.509866  0.234207  0.061766  0.034956  0.000117  0.000325  0.000106  0.000477
1.727273  -0.522031  0.243823  0.063582  0.036679  0.000122  0.000274  0.000113  0.000453
1.676364  -0.534670  0.253985  0.065974  0.039907  0.000125  0.000286  0.000123  0.000492
1.625455  -0.547798  0.264979  0.068438  0.043288  0.000133  0.000297  0.000128  0.000548
1.574545  -0.561640  0.276002  0.071091  0.045967  0.000135  0.000312  0.000145  0.000523
1.523636  -0.576016  0.287433  0.074642  0.049209  0.000128  0.000372  0.000132  0.000550
1.472727  -0.590894  0.299770  0.077713  0.053647  0.000131  0.000341  0.000153  0.000677
1.421818  -0.606389  0.312061  0.081497  0.057058  0.000136  0.000304  0.000166  0.000689
1.370909  -0.622586  0.325373  0.086113  0.062912  0.000146  0.000440  0.000178  0.000659
1.320000  -0.639524  0.339152  0.090691  0.068652  0.000139  0.000406  0.000225  0.000782
1.269091  -0.657226  0.352879  0.096448  0.076016  0.000147  0.000506  0.000226  0.000874
1.218182  -0.675461  0.366446  0.103321  0.085193  0.000158  0.000522  0.000257  0.000955
1.167273  -0.694505  0.380421  0.110731  0.095187  0.000150  0.000601  0.000316  0.001060
1.116364  -0.714038  0.393013  0.119408  0.106763  0.000144  0.000656  0.000362  0.001194
1.065455  -0.734729  0.406382  0.131350  0.122378  0.000139  0.000706  0.000418  0.001201
1.014545  -0.755807  0.417050  0.143679  0.141674  0.000153  0.000785  0.000465  0.001469
0.963636  -0.777119  0.426432  0.160049  0.165331  0.000177  0.000807  0.000613  0.001558
0.912727  -0.799078  0.434665  0.179349  0.190340  0.000184  0.000892  0.000679  0.002126
0.861818  -0.821198  0.437805  0.203061  0.228249  0.000180  0.000906  0.000722  0.002151
0.810909  -0.843959  0.440881  0.237932  0.281020  0.000192  0.001047  0.001031  0.002848
0.760000  -0.866526  0.435858  0.278228  0.346974  0.000202  0.001267  0.001298  0.003232
0.709091  -0.888756  0.431304  0.336660  0.429652  0.000234  0.001572  0.001732  0.003936
0.658182  -0.910132  0.429249  0.410372  0.534967  0.000318  0.001838  0.002844  0.004180
0.607273  -0.932399  0.423229  0.516639  0.651807  0.000319  0.001663  0.002868  0.006478
0.556364  -0.953842  0.400256  0.647552  0.777191  0.000372  0.001741  0.003601  0.005980
0.505455  -0.972673  0.334503  0.780137  0.882283  0.000358  0.002926  0.003461  0.006814
0.454545  -0.986808  0.225043  0.889964  0.938577  0.000301  0.004341  0.002917  0.008577
0.403636  -0.995314  0.109206  0.960333  0.972432  0.000220  0.004848  0.002161  0.010894
0.352727  -0.998842  0.036191  0.990004  0.985933  0.000120  0.003639  0.001201  0.009771
0.301818  -0.999737  0.011221  0.997562  0.999794  0.000072  0.002998  0.000747  0.000084
0.250909  -0.999992  0.000499  0.999932  0.999979  0.000005  0.000325  0.000047  0.000015
0.200000  -1.000000  0.000000  1.000000  1.000000  0.000000  0.000000  0.000000  0.000000
