# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
          0.773333              2.25           2.20267          0.268966
          0.826667             2.076           2.63633           0.16188
              0.88              2.76           2.72533          0.139197
          0.933333             2.996             2.922          0.131917
          0.986667             2.802           3.08367          0.283599
              1.04             3.608           3.93033          0.571663
           1.09333             3.144           3.75633          0.554123
           1.14667             3.102             3.855          0.527822
               1.2             3.096           3.91867           0.62696
           1.25333             2.716           3.55467          0.461251
           1.30667             3.352           3.63267          0.333152
              1.36              3.84           3.86233          0.211856
           1.41333             4.402             3.601          0.225429
           1.46667             4.022           3.36967          0.156902
              1.52             3.574           3.21467          0.123125
           1.57333              3.76             3.166          0.148031
         0.0266667                 0        0.00257143        0.00165193
              0.08             0.028         0.0314286         0.0110857
          0.133333             0.028         0.0917143         0.0302842
          0.186667             0.034          0.113429         0.0349524
              0.24              0.15          0.195143         0.0382513
          0.293333             0.466          0.363429         0.0542853
          0.346667             0.726             0.478          0.060882
               0.4             0.836          0.770571         0.0848477
          0.453333              1.17           1.00371         0.0884796
          0.506667             1.374           1.24886         0.0745696
              0.56             1.404           1.25286         0.0683757
          0.613333             2.146           1.58086           0.12556
          0.666667             2.548           1.74457          0.166286
              0.72             2.288           1.88057         0.0850188
          0.773333             2.472           2.24114          0.233278
          0.826667             2.336           2.59343          0.144328
              0.88             2.736           2.72686           0.11932
          0.933333             3.164           2.95657          0.117514
          0.986667              2.86           3.05171          0.244878
              1.04              2.98           3.79457          0.505861
           1.09333             3.474             3.716          0.476428
           1.14667             2.678           3.68686          0.478451
               1.2              3.08           3.79886          0.548722
           1.25333             3.794           3.58886          0.396623
           1.30667             3.788           3.65486          0.286297
              1.36              3.06           3.74771          0.210324
           1.41333              4.27           3.69657          0.212521
           1.46667             4.502           3.53143          0.201285
              1.52             4.494           3.39743          0.199419
           1.57333             4.016           3.28743          0.169523
         0.0266667             0.008           0.00325        0.00157867
              0.08             0.154           0.04675         0.0173058
          0.133333             0.172           0.10175         0.0281124
          0.186667             0.344           0.14225         0.0407698
              0.24             0.336           0.21275         0.0373027
          0.293333             0.316            0.3575         0.0478223
          0.346667             0.522            0.4835         0.0535196
               0.4             0.664           0.75725         0.0752803
          0.453333             1.042            1.0085          0.077549
          0.506667              1.04           1.22275         0.0696688
              0.56             1.418            1.2735         0.0628677
          0.613333             2.172           1.65475          0.129799
          0.666667              1.44            1.7065          0.149795
              0.72             1.928            1.8865         0.0745979
          0.773333             2.246           2.24175          0.204119
          0.826667             2.684           2.60475           0.12673
              0.88             2.608             2.712          0.105326
          0.933333             2.956            2.9565          0.102825
          0.986667              3.77            3.1415          0.230141
              1.04             3.246             3.726          0.447252
           1.09333               3.2            3.6515          0.421218
           1.14667             3.748            3.6945          0.418706
               1.2             5.212            3.9755          0.507769
           1.25333              5.33            3.8065          0.402353
           1.30667             4.422           3.75075          0.266085
              1.36             4.442            3.8345          0.201143
           1.41333             4.484             3.795          0.207501
           1.46667             3.082           3.47525          0.183797
              1.52              2.99            3.3465          0.180878
           1.57333             2.878           3.23625          0.155866
         0.0266667             0.004        0.00333333        0.00140546
              0.08             0.008         0.0424444         0.0159096
          0.133333             0.026         0.0933333         0.0262185
          0.186667             0.106          0.138222         0.0364383
              0.24             0.334          0.226222         0.0355075
          0.293333             0.452             0.368         0.0436462
          0.346667             0.488             0.484         0.0475753
               0.4             0.764             0.758         0.0669195
          0.453333             0.968             1.004         0.0690629
          0.506667             1.332           1.23489         0.0629765
              0.56             2.434           1.40244          0.133799
          0.613333             2.578           1.75733          0.150552
          0.666667              2.15           1.75578          0.141024
              0.72             3.126           2.02422          0.145797
          0.773333             2.998           2.32578          0.197981
          0.826667             3.104           2.66022          0.124198
              0.88             2.656           2.70578         0.0938064
          0.933333             2.862             2.946         0.0919345
          0.986667             3.322           3.16156          0.205442
              1.04             2.948           3.63956          0.405825
           1.09333             2.878           3.56556          0.383084
           1.14667             3.152           3.63422          0.376497
               1.2             3.632           3.93733          0.452782
           1.25333             4.066           3.83533          0.358679
           1.30667             3.414           3.71333          0.239136
              1.36             3.546           3.80244           0.18133
           1.41333             2.934           3.69933          0.205317
           1.46667             2.582             3.376          0.188275
              1.52             2.162           3.21489          0.203094
           1.57333              2.53           3.15778          0.157064
         0.0266667                 0             0.003        0.00130384
              0.08                 0            0.0382          0.014874
          0.133333             0.032            0.0872         0.0243034
          0.186667             0.092            0.1336         0.0330863
              0.24             0.216            0.2252         0.0319715
          0.293333             0.178             0.349         0.0432197
          0.346667              0.22            0.4576         0.0496047
               0.4              0.37            0.7192         0.0705851
          0.453333             1.004             1.004         0.0621566
          0.506667             1.124            1.2238         0.0576468
              0.56              2.36            1.4982          0.150841
          0.613333              1.72            1.7536          0.135543
          0.666667             1.662            1.7464          0.127233
              0.72             3.134            2.1352          0.168233
          0.773333             2.512            2.3444          0.179056
          0.826667             2.658              2.66          0.111778
              0.88             2.976            2.7328         0.0882321
          0.933333             2.538            2.9052         0.0913469
          0.986667             3.266             3.172          0.185163
              1.04             2.326            3.5082          0.385916
           1.09333             3.174            3.5264          0.346771
           1.14667             2.814            3.5522          0.347667
               1.2              4.78            4.0216          0.415271
           1.25333             3.066            3.7584          0.330959
           1.30667             3.202            3.6622          0.220622
