#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                 1          0.674657          0.674657                 0
                 2           1.05187          0.863266          0.133367
                 3           1.07542          0.933983          0.106015
                 4          0.910653           0.92815         0.0796714
                 5          0.887575          0.920035         0.0641491
                 6          0.914909          0.919181         0.0534632
                 7          0.828014          0.906157         0.0473854
                 8          0.803555          0.893332          0.043163
                 9          0.878085          0.891638         0.0384003
                10          0.903201          0.892794         0.0345777
                11          0.852641          0.889144         0.0316264
                12          0.791087          0.880972         0.0300279
                13          0.805448          0.875163         0.0282745
                14          0.813621          0.870767         0.0265944
                15          0.837625          0.868557         0.0249131
                16           0.91551          0.871492         0.0235282
                17          0.877802          0.871863         0.0221471
                18          0.818924          0.868922         0.0211111
                19          0.858624           0.86838         0.0200069
                20          0.877988           0.86886         0.0190124
                21          0.860635          0.868469          0.018111
                22           0.86705          0.868404         0.0172879
                23          0.810533          0.865888         0.0167184
                24          0.784273          0.862487          0.016364
                25          0.857264          0.862279         0.0157108
                26          0.852244          0.861893         0.0151112
                27          0.769848          0.858484         0.0149311
                28          0.808606          0.856702         0.0145038
                29          0.790887          0.854433         0.0141801
                30          0.798349          0.852563         0.0138301
                31          0.799392          0.850848         0.0134899
                32          0.682828          0.845597         0.0140531
                33          0.633105          0.839158         0.0150302
                34          0.678206          0.834424         0.0153155
                35          0.670427          0.829739         0.0155782
                36          0.734014           0.82708         0.0153707
                37          0.779649          0.825798         0.0150087
                38          0.759435          0.824051          0.014715
                39          0.775428          0.822805         0.0143904
                40          0.714358          0.820094         0.0142837
