#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
                 1           1.01198           1.01198                 0
                 2           1.57781            1.2949           0.20005
                 3           1.61313           1.40097          0.159022
                 4           1.36598           1.39223          0.119507
                 5           1.33136           1.38005         0.0962236
                 6           1.37236           1.37877         0.0801949
                 7           1.24202           1.35924         0.0710781
                 8           1.20533              1.34         0.0647445
                 9           1.31713           1.33746         0.0576005
                10            1.3548           1.33919         0.0518666
                11           1.27896           1.33372         0.0474396
                12           1.18663           1.32146         0.0450419
                13           1.20817           1.31274         0.0424117
                14           1.22043           1.30615         0.0398916
                15           1.25644           1.30284         0.0373696
                16           1.37326           1.30724         0.0352923
                17            1.3167           1.30779         0.0332206
                18           1.22839           1.30338         0.0316666
                19           1.28794           1.30257         0.0300104
                20           1.31698           1.30329         0.0285185
                21           1.29095            1.3027         0.0271666
                22           1.30057           1.30261         0.0259319
                23            1.2158           1.29883         0.0250776
                24           1.17641           1.29373          0.024546
                25            1.2859           1.29342         0.0235661
                26           1.27837           1.29284         0.0226669
                27           1.15477           1.28773         0.0223967
                28           1.21291           1.28505         0.0217556
                29           1.18633           1.28165         0.0212701
                30           1.19752           1.27884         0.0207451
                31           1.19909           1.27627         0.0202349
                32           1.02424            1.2684         0.0210796
                33          0.949658           1.25874         0.0225453
                34           1.01731           1.25164         0.0229733
                35           1.00564           1.24461         0.0233673
                36           1.10102           1.24062         0.0230561
                37           1.16947            1.2387          0.022513
                38           1.13915           1.23608         0.0220724
                39           1.16314           1.23421         0.0215856
                40           1.07154           1.23014         0.0214256
