#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                 1         0.0642878         0.0642878                 0
                 2         0.0733204         0.0688041        0.00319351
                 3          0.052355         0.0633211        0.00495734
                 4         0.0394045         0.0573419        0.00637465
                 5          0.049807          0.055835        0.00527484
                 6         0.0461757         0.0542251        0.00463486
                 7         0.0528912         0.0540345        0.00397666
                 8         0.0440095         0.0527814        0.00367171
                 9          0.041227         0.0514976        0.00348096
                10         0.0425722          0.050605        0.00324528
                11         0.0517279         0.0507071        0.00295186
                12         0.0544641         0.0510202        0.00272242
                13         0.0469654         0.0507083        0.00253081
                14         0.0459184         0.0503661        0.00237305
                15         0.0476145         0.0501827        0.00222193
                16         0.0456198         0.0498975        0.00210128
                17         0.0429803         0.0494906        0.00201668
                18         0.0425626         0.0491057        0.00194103
                19         0.0490329         0.0491019        0.00183887
                20         0.0481433          0.049054        0.00174755
                21         0.0444811         0.0488362        0.00167785
                22         0.0501608         0.0488964        0.00160266
                23         0.0430938         0.0486441        0.00155271
                24         0.0477113         0.0486053         0.0014885
                25         0.0432617         0.0483915        0.00144423
                26         0.0442153         0.0482309        0.00139758
                27         0.0424365         0.0480163         0.0013622
                28         0.0452826         0.0479187        0.00131704
                29         0.0485275         0.0479397        0.00127179
                30         0.0433911          0.047788        0.00123841
                31         0.0439091         0.0476629        0.00120476
                32         0.0439927         0.0475482        0.00117256
                33         0.0439989         0.0474407        0.00114195
                34         0.0440769         0.0473417        0.00111264
                35         0.0446485         0.0472648        0.00108351
                36         0.0420112         0.0471188        0.00106319
                37         0.0469414          0.047114        0.00103447
                38         0.0459342          0.047083        0.00100771
                39         0.0420149          0.046953       0.000990217
                40         0.0497689         0.0470234        0.00096796
