#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 1          -1.56188          -1.56188                 0
                 2          -1.39162          -1.47675         0.0601948
                 3          -1.08356          -1.34569          0.114289
                 4         -0.884684          -1.23043          0.131565
                 5         -0.856628          -1.15567          0.124697
                 6         -0.763056          -1.09024           0.11986
                 7         -0.685617          -1.03243           0.11584
                 8           -0.5837         -0.976343          0.114135
                 9         -0.531414         -0.926906          0.111648
                10         -0.578818         -0.892097           0.10577
                11         -0.639644         -0.869147          0.098613
                12         -0.598076         -0.846558         0.0929465
                13          -0.46963         -0.817563         0.0902059
                14         -0.465099         -0.792387         0.0872051
                15         -0.482291         -0.771714          0.083806
                16         -0.489765         -0.754092         0.0803995
                17         -0.464468         -0.737056         0.0774541
                18         -0.428432          -0.71991         0.0750249
                19         -0.415106         -0.703868         0.0727711
                20         -0.420395         -0.689694         0.0704993
                21         -0.476904         -0.679561         0.0678665
                22         -0.428423         -0.668146         0.0657347
                23         -0.419054         -0.657316         0.0637626
                24         -0.463795         -0.649252         0.0616135
                25          -0.44698         -0.641161         0.0596779
                26         -0.419914         -0.632652         0.0579861
                27          -0.40583         -0.624251         0.0564437
                28         -0.419148         -0.616926         0.0549011
                29         -0.455966         -0.611376         0.0532878
                30         -0.405237         -0.604504         0.0519527
                31         -0.376803         -0.597159         0.0507934
                32         -0.350029         -0.589436         0.0497897
                33          -0.32924         -0.581552         0.0489013
                34         -0.341184         -0.574482         0.0479713
                35         -0.338913         -0.567751         0.0470705
                36         -0.321588         -0.560913          0.046257
                37         -0.358243         -0.555436         0.0453299
                38         -0.392252         -0.551142           0.04434
                39         -0.375078         -0.546627         0.0434323
                40         -0.414279         -0.543318         0.0424723
