# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
              0.12              0.02              0.02                 0
              0.36             0.204             0.204                 0
               0.6             0.654             0.654                 0
              0.84              1.33              1.33                 0
              1.08             2.304             2.304                 0
              1.32             3.912             3.912                 0
              1.56             6.064             6.064                 0
               1.8            10.156            10.156                 0
              2.04            11.392            11.392                 0
              2.28            23.696            23.696                 0
              2.52            20.782            20.782                 0
              2.76            10.868            10.868                 0
                 3             8.942             8.942                 0
              3.24             4.062             4.062                 0
              3.48             1.394             1.394                 0
              3.72             1.206             1.206                 0
              3.96               0.7               0.7                 0
               4.2             0.162             0.162                 0
              4.44             0.086             0.086                 0
              4.68             0.052             0.052                 0
              4.92             0.014             0.014                 0
              5.16                 0                 0                 0
               5.4                 0                 0                 0
              5.64                 0                 0                 0
              5.88                 0                 0                 0
              6.12                 0                 0                 0
              6.36                 0                 0                 0
               6.6                 0                 0                 0
              6.84                 0                 0                 0
              7.08                 0                 0                 0
              0.12             0.414             0.217            0.1393
              0.36             1.484             0.844          0.452548
               0.6             2.692             1.673          0.720542
              0.84             5.916             3.623            1.6214
              1.08             6.128             4.216           1.35199
              1.32             8.142             6.027           1.49553
              1.56            10.654             8.359           1.62281
               1.8            13.206            11.681           1.07834
              2.04            11.206            11.299         0.0657609
              2.28             9.192            16.444           5.12794
              2.52             6.388            13.585           5.08905
              2.76             7.424             9.146           1.21764
                 3             7.984             8.463          0.338704
              3.24             7.348             5.705           1.16178
              3.48             4.104             2.749           0.95813
              3.72             2.444             1.825          0.437699
              3.96             1.112             0.906          0.145664
               4.2             0.996             0.579          0.294864
              4.44             0.624             0.355          0.190212
              4.68             0.122             0.087         0.0247487
              4.92               0.3             0.157          0.101116
              5.16              0.12              0.06         0.0424264
               5.4                 0                 0                 0
              5.64                 0                 0                 0
              5.88                 0                 0                 0
              6.12                 0                 0                 0
              6.36                 0                 0                 0
               6.6                 0                 0                 0
              6.84                 0                 0                 0
              7.08                 0                 0                 0
              0.12             0.014          0.149333          0.108059
              0.36             1.848           1.17867           0.40705
