# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
           7.86667                 0                 0                 0
          0.133333             0.114              0.26          0.087975
               0.4             0.926           1.55086          0.257525
          0.666667              3.08           2.36886          0.341432
          0.933333             5.536           5.43429          0.723585
               1.2            13.712           9.23029           1.32154
           1.46667             14.21           11.4423           1.14888
           1.73333            14.352           13.2649           1.06258
                 2            14.616           13.1951          0.658096
           2.26667              9.47           13.5811           1.09048
           2.53333            10.342           12.3046           1.96594
               2.8            11.342           10.5434          0.969837
           3.06667             3.122           5.72371          0.767683
           3.33333             4.728           4.75314          0.500717
               3.6             1.118           2.08371          0.520029
           3.86667             1.136          0.993429          0.258605
           4.13333             0.164             0.594          0.163232
               4.4             0.032          0.520571           0.13377
           4.66667                 0         0.0808571         0.0571112
           4.93333                 0             0.052         0.0420204
               5.2                 0         0.0162857         0.0150776
           5.46667                 0        0.00657143        0.00608396
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333              0.04            0.2325         0.0811625
               0.4             2.722           1.69725          0.263681
          0.666667             2.674             2.407          0.300876
          0.933333             6.374           5.55175            0.6426
               1.2            13.606           9.77725           1.26448
           1.46667            15.588           11.9605           1.11604
           1.73333            16.096           13.6188          0.986933
                 2            12.338            13.088          0.584491
           2.26667             8.154           12.9027           1.14592
           2.53333              9.26            11.924           1.75665
               2.8             9.212            10.377          0.862769
           3.06667             5.138            5.6505          0.675205
           3.33333             3.498           4.59625          0.462054
               3.6             2.286             2.109           0.45564
           3.86667              0.13            0.8855           0.24778
           4.13333             0.884           0.63025          0.146798
               4.4                 0            0.4555           0.13193
           4.66667                 0           0.07075         0.0508588
           4.93333                 0            0.0455         0.0372672
               5.2                 0           0.01425         0.0133297
           5.46667                 0           0.00575        0.00537863
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
