#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               177              0.28          0.344859         0.0234916
               178              0.32          0.344719           0.02336
               179              0.16          0.343687         0.0232523
               180              0.12          0.342444         0.0231563
               181               0.2          0.341657         0.0230417
               182              0.16          0.340659         0.0229367
               183             -0.04          0.338579         0.0229055
               184              0.08          0.337174         0.0228241
               185              0.08          0.335784          0.022743
               186              0.16          0.334839         0.0226404
               187              0.12           0.33369         0.0225484
               188                 0          0.331915         0.0224982
               189                 0          0.330159         0.0224476
               190              0.16          0.329263         0.0223474
               191              0.08          0.327958         0.0222684
               192              0.32          0.327917         0.0221525
               193              0.24          0.327461         0.0220424
               194              0.16          0.326598         0.0219457
               195              0.16          0.325744         0.0218497
               196               0.2          0.325102         0.0217477
               197              0.04          0.323655         0.0216854
               198              0.12          0.322626         0.0216002
               199             -0.12          0.320402         0.0216059
               200             -0.04            0.3186         0.0215729
               201                 0          0.317015         0.0215237
               202              0.16          0.316238         0.0214312
               203              0.24          0.315862         0.0213289
               204              0.12          0.314902          0.021246
               205              0.28          0.314732          0.021143
               206              0.16          0.313981         0.0210537
               207              0.24          0.313623          0.020955
               208              0.32          0.313654         0.0208543
               209              0.08          0.312536         0.0207845
               210              0.24           0.31219         0.0206884
               211              0.08           0.31109         0.0206196
               212              0.04          0.309811         0.0205619
               213              0.12           0.30892         0.0204847
               214             -0.04           0.30729         0.0204538
               215              -0.2           0.30493         0.0204943
               216              -0.4          0.301667         0.0206576
               217             -0.36          0.298618         0.0207862
               218             -0.32           0.29578         0.0208837
               219             -0.32          0.292968         0.0209767
               220             -0.36              0.29         0.0210903
               221             -0.48          0.286516         0.0212807
               222             -0.52          0.282883         0.0214927
               223             -0.44          0.279641         0.0216394
               224             -0.48           0.27625          0.021807
               225              -0.4          0.273244         0.0219162
               226             -0.24          0.270973         0.0219365
               227             -0.16          0.269075         0.0219219
               228             -0.24          0.266842         0.0219392
               229              -0.2          0.264803         0.0219379
               230             -0.36          0.262087         0.0220101
               231              -0.4          0.259221         0.0221006
               232             -0.48          0.256034         0.0222338
               233             -0.48          0.252876         0.0223617
               234             -0.64           0.24906         0.0225893
               235             -0.68          0.245106         0.0228365
               236              -0.8          0.240678         0.0231652
               237              -0.8          0.236287         0.0234799
               238             -0.68          0.232437         0.0236948
               239             -0.84           0.22795         0.0240168
               240             -0.96             0.223         0.0244214
               241             -0.92          0.218257         0.0247764
               242             -0.84          0.213884         0.0250569
               243             -0.92          0.209218         0.0253846
               244             -0.88          0.204754           0.02567
               245                -1          0.199837          0.026032
               246                -1          0.194959         0.0263791
               247                -1          0.190121         0.0267123
               248                -1          0.185323         0.0270322
               249                -1          0.180562         0.0273396
               250             -0.96             0.176         0.0276082
               251                -1          0.171315          0.027893
               252                -1          0.166667         0.0281669
               253                -1          0.162055         0.0284305
               254                -1           0.15748         0.0286843
               255             -0.96          0.153098         0.0289047
               256                -1          0.148594         0.0291406
               257             -0.96           0.14428         0.0293447
               258              -0.8           0.14062         0.0294584
               259              -0.8          0.136988         0.0295676
               260             -0.88          0.133077         0.0297115
               261             -0.76          0.129655         0.0297941
               262             -0.64          0.126718         0.0298248
               263             -0.56          0.124106         0.0298255
               264             -0.56          0.121515         0.0298249
               265             -0.36          0.119698         0.0297676
               266             -0.52          0.117293         0.0297527
               267             -0.68          0.114307         0.0297907
               268             -0.56          0.111791         0.0297856
               269              -0.6          0.109145         0.0297922
               270             -0.68          0.106222         0.0298249
               271              -0.8          0.102878         0.0299017
               272              -0.8         0.0995588         0.0299755
               273             -0.64         0.0968498         0.0299878
               274             -0.72         0.0938686         0.0300262
               275             -0.72         0.0909091         0.0300625
               276             -0.68         0.0881159         0.0300831
               277              -0.8         0.0849097         0.0301448
               278             -0.84         0.0815827         0.0302194
               279             -0.84         0.0782796         0.0302911
               280              -0.8         0.0751429         0.0303449
               281             -0.68         0.0724555         0.0303557
               282              -0.6         0.0700709         0.0303416
               283              -0.6         0.0677032         0.0303266
               284             -0.52         0.0656338         0.0302903
