#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
               192              5.12           10.0875           0.92195
               193              2.88           10.0502          0.917929
               194              1.28           10.0049           0.91431
               195              1.28           9.96021          0.910716
               196                 2           9.91959          0.906974
               197              0.08           9.86964          0.903745
               198              0.72           9.82343          0.900361
               199              0.72           9.77769          0.896998
               200              0.08            9.7292          0.893822
               201                 0            9.6808          0.890685
               202              1.28           9.63921          0.887246
               203              2.88           9.60591            0.8835
               204              0.72           9.56235          0.880242
               205              3.92           9.53483          0.876379
               206              1.28           9.49476           0.87304
               207              2.88            9.4628          0.869407
               208              5.12           9.44192          0.865478
               209              0.32           9.39828          0.862437
               210              2.88           9.36724          0.858888
               211              0.32           9.32436          0.855887
               212              0.08           9.28075           0.85296
               213              0.72           9.24056          0.849902
               214              0.08           9.19776          0.847008
               215                 2           9.16428           0.84373
               216                 8           9.15889          0.839841
               217              6.48           9.14654          0.836061
               218              5.12           9.12807           0.83243
               219              5.12           9.10977           0.82883
               220              6.48           9.09782          0.825149
               221             11.52           9.10878          0.821488
               222             13.52           9.12865          0.818028
               223              9.68           9.13112          0.814363
               224             11.52           9.14179          0.810798
               225                 8           9.13671           0.80721
               226              2.88           9.10903          0.804113
               227              1.28           9.07454           0.80131
               228              2.88           9.04737          0.798256
               229                 2           9.01659          0.795363
               230              6.48           9.00557          0.791981
               231                 8           9.00121          0.788565
               232             11.52           9.01207          0.785241
               233             11.52           9.02283          0.781944
               234             20.48           9.07179          0.780134
               235             23.12           9.13157          0.779101
               236                32           9.22847          0.781803
               237                32           9.32456          0.784386
               238             23.12           9.38252          0.783229
               239             35.28           9.49088          0.787412
               240             46.08           9.64333          0.798753
               241             42.32           9.77892          0.806865
               242             35.28            9.8843          0.810382
               243             42.32           10.0178          0.817967
               244             38.72           10.1354          0.823029
               245                50           10.2981          0.835599
               246                50           10.4595          0.847645
               247                50           10.6196          0.859196
               248                50           10.7784          0.870282
               249                50           10.9359          0.880926
               250             46.08           11.0765          0.888548
               251                50           11.2316          0.898438
               252                50           11.3854          0.907949
               253                50            11.538          0.917099
               254                50           11.6894          0.925905
               255             46.08           11.8243          0.932044
               256                50           11.9734          0.940258
               257             46.08           12.1061          0.945918
               258                32           12.1833          0.945389
               259                32           12.2598           0.94483
               260             38.72           12.3615          0.946661
               261             28.88           12.4248          0.945148
               262             20.48           12.4556           0.94204
               263             15.68           12.4678          0.938538
               264             15.68             12.48          0.935062
               265              6.48           12.4574          0.931807
               266             13.52           12.4614          0.928313
               267             23.12           12.5013          0.925694
               268             15.68           12.5131          0.922316
               269                18           12.5335          0.919113
               270             23.12           12.5727          0.916545
               271                32           12.6444          0.915962
               272                32           12.7156          0.915354
               273             20.48            12.744          0.912443
               274             25.92           12.7921          0.910379
               275             25.92           12.8399          0.908319
               276             23.12           12.8771          0.905792
               277                32           12.9461          0.905149
               278             35.28           13.0265          0.905451
               279             35.28           13.1062          0.905712
               280                32           13.1737          0.904987
               281             23.12           13.2091          0.902459
               282                18           13.2261          0.899418
               283                18            13.243          0.896398
               284             13.52           13.2439          0.893243
               285             11.52           13.2379          0.890129
               286             11.52           13.2319          0.887037
               287             15.68           13.2404          0.883987
               288              9.68           13.2281          0.881004
               289              6.48           13.2047          0.878265
               290              6.48           13.1815          0.875543
               291                 8           13.1637          0.872715
               292             13.52           13.1649          0.869727
               293             25.92           13.2085          0.867848
               294             20.48           13.2332          0.865248
               295             13.52           13.2342          0.862316
               296             11.52           13.2284          0.859422
               297             11.52           13.2226          0.856547
               298                18           13.2387          0.853823
               299             15.68           13.2468          0.851007
               300             25.92           13.2891          0.849218
               301             25.92            13.331          0.847432
               302             28.88           13.3825          0.846189
               303                18           13.3978          0.843534
               304                18           13.4129          0.840895
               305             13.52           13.4132          0.838138
               306             23.12            13.445          0.835999
               307             28.88           13.4952          0.834786
               308                32           13.5553          0.834235
               309             35.28           13.6256          0.834492
               310                32           13.6849          0.833903
               311             23.12           13.7152          0.831773
               312             15.68           13.7215          0.829131
               313             11.52           13.7145          0.826512
               314             15.68           13.7208          0.823903
               315                 8           13.7026          0.821488
               316              6.48           13.6797          0.819206
               317                 8           13.6618          0.816818
               318              6.48           13.6392          0.814561
               319             15.68           13.6456          0.812033
               320             11.52            13.639          0.809523
               321             11.52           13.6324          0.807028
               322                18            13.646          0.804635
               323                18           13.6594          0.802257
               324             20.48           13.6805          0.800057
               325                18           13.6938          0.797706
               326                32           13.7499          0.797233
               327                32           13.8057          0.796746
               328             25.92           13.8427          0.795173
               329                18           13.8553          0.792856
               330             28.88           13.9008           0.79176
               331             38.72           13.9758           0.79291
               332             35.28             14.04          0.793114
               333             38.72           14.1141          0.794188
               334             42.32           14.1986          0.796287
               335             38.72           14.2718          0.797267
               336             42.32           14.3552          0.799253
               337             38.72           14.4275          0.800145
               338             25.92           14.4615          0.798499
               339                32           14.5133          0.797818
               340                32           14.5647          0.797128
               341             25.92            14.598          0.795485
               342             28.88           14.6398          0.794255
               343             38.72             14.71          0.795036
               344             46.08           14.8012          0.797937
               345             35.28           14.8605          0.797829
               346             46.08           14.9508          0.800609
               347             46.08           15.0405          0.803313
               348             46.08           15.1297          0.805941
               349             42.32           15.2076          0.807388
               350             38.72           15.2747          0.807871
               351             42.32           15.3518          0.809236
               352                50           15.4502          0.812901
               353             38.72           15.5161          0.813267
               354             42.32           15.5919          0.814487
               355             46.08           15.6777          0.816708
               356                50           15.7742          0.820084
               357             46.08            15.859          0.822169
               358                50           15.9544          0.825385
               359                50           16.0492          0.828516
               360                50           16.1436          0.831565
               361             46.08           16.2265          0.833386
               362             38.72           16.2886          0.833397
               363             46.08           16.3707          0.835132
               364             38.72           16.4321          0.835092
               365             35.28           16.4837          0.834399
               366             28.88           16.5176          0.832806
               367                32           16.5598          0.831605
               368             28.88           16.5933          0.830019
               369             35.28           16.6439          0.829313
               370             46.08           16.7235          0.830879
               371             46.08           16.8026          0.832398
               372             42.32           16.8712          0.832982
               373             46.08           16.9495          0.834422
               374             42.32           17.0173          0.834944
               375             38.72           17.0752           0.83472
               376             35.28           17.1236          0.833903
               377             35.28           17.1718          0.833081
               378             28.88           17.2028          0.831453
               379             25.92           17.2258          0.829577
               380                32           17.2646          0.828304
               381             42.32           17.3304          0.828737
               382             46.08           17.4057          0.829978
               383                50           17.4908          0.832162
               384             46.08           17.5652          0.833319
               385             35.28           17.6112          0.832424
               386                32           17.6485          0.831102
               387             20.48           17.6558          0.828986
