#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
               160              -0.6           -0.7765        0.00710974
               161              -0.6         -0.775404         0.0071496
               162             -0.68         -0.774815        0.00712968
               163              -0.6         -0.773742        0.00716615
               164             -0.76         -0.773659        0.00712295
               165             -0.84         -0.774061        0.00709111
               166             -0.76         -0.773976         0.0070489
               167             -0.84         -0.774371        0.00701777
               168             -0.84         -0.774762        0.00698686
               169             -0.84         -0.775148        0.00695618
               170             -0.76         -0.775059        0.00691583
               171             -0.76         -0.774971        0.00687595
               172             -0.84         -0.775349        0.00684636
               173             -0.84         -0.775723        0.00681697
               174             -0.84         -0.776092         0.0067878
               175             -0.84         -0.776457        0.00675883
               176             -0.76         -0.776364        0.00672107
               177              -0.6         -0.775367        0.00675655
               178              -0.6         -0.774382        0.00679005
               179             -0.76         -0.774302        0.00675259
               180             -0.76         -0.774222        0.00671554
               181             -0.76         -0.774144         0.0066789
               182             -0.68         -0.773626         0.0066622
               183             -0.68         -0.773115        0.00664541
               184             -0.68         -0.772609        0.00662854
               185             -0.76         -0.772541        0.00659306
               186             -0.68         -0.772043        0.00657636
               187             -0.68         -0.771551        0.00655958
               188             -0.76         -0.771489        0.00652498
               189             -0.76         -0.771429        0.00649074
               190             -0.76         -0.771368        0.00645685
               191             -0.76         -0.771309        0.00642332
               192              -0.6         -0.770417        0.00645154
               193              -0.6         -0.769534        0.00647825
               194             -0.44         -0.767835        0.00666384
               195             -0.52         -0.766564        0.00674977
               196              -0.6         -0.765714        0.00676862
               197             -0.52         -0.764467        0.00684822
               198             -0.76         -0.764444        0.00681367
               199             -0.76         -0.764422        0.00677947
               200             -0.76           -0.7644        0.00674561
               201             -0.76         -0.764378        0.00671208
               202             -0.76         -0.764356        0.00667889
               203             -0.76         -0.764335        0.00664602
               204             -0.68         -0.763922        0.00662629
               205             -0.68         -0.763512         0.0066066
               206              -0.6         -0.762718        0.00662204
               207             -0.68         -0.762319        0.00660209
               208             -0.68         -0.761923         0.0065822
               209             -0.68         -0.761531        0.00656237
               210             -0.68         -0.761143         0.0065426
               211             -0.68         -0.760758        0.00652288
               212              -0.6             -0.76        0.00653604
               213             -0.68         -0.759624        0.00651614
               214             -0.68         -0.759252         0.0064963
               215             -0.68         -0.758884        0.00647654
               216             -0.84         -0.759259        0.00645743
               217             -0.76         -0.759263        0.00642767
               218             -0.76         -0.759266        0.00639819
