#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.253497   -0.253497           0
           2   -0.279363    -0.26643  0.00914512
           3   -0.285291   -0.272717  0.00797006
           4   -0.309535   -0.281921  0.00996354
           5   -0.323125   -0.290162   0.0108564
           6   -0.317665   -0.294746  0.00996787
           7    -0.30132   -0.295685  0.00858801
           8   -0.320433   -0.298779  0.00805239
           9   -0.288214   -0.297605  0.00724273
          10   -0.336427   -0.301487  0.00748696
          11   -0.321681   -0.303323   0.0070278
          12   -0.328942   -0.305458  0.00675865
          13   -0.301365   -0.305143  0.00624608
          14   -0.337628   -0.307463  0.00621601
          15   -0.293444   -0.306529  0.00587145
          16   -0.333385   -0.308207  0.00573941
          17    -0.31473   -0.308591   0.0054146
          18   -0.247682   -0.305207   0.0060799
          19   -0.314937   -0.305719  0.00578143
          20   -0.334859   -0.307176  0.00567298
          21   -0.304695   -0.307058  0.00540407
          22   -0.300807   -0.306774  0.00516589
          23   -0.306417   -0.306758  0.00494131
          24   -0.355688   -0.308797  0.00513883
          25   -0.321987   -0.309325  0.00496029
          26   -0.367889   -0.311577   0.0052561
          27   -0.376515   -0.313982  0.00558466
          28   -0.405362   -0.317246  0.00626665
          29    -0.35931   -0.318696  0.00621615
          30   -0.361756   -0.320132  0.00617244
          31   -0.312803   -0.319895  0.00597785
          32   -0.342455     -0.3206  0.00583246
          33   -0.359866    -0.32179  0.00577582
          34   -0.353848   -0.322733  0.00568238
          35   -0.381733   -0.324419  0.00576465
          36   -0.350608   -0.325146  0.00565023
          37   -0.283064   -0.324009  0.00561083
          38   -0.294131   -0.323223  0.00551799
          39   -0.283748    -0.32221  0.00546855
          40   -0.285855   -0.321301  0.00540683
          41   -0.352342   -0.322059   0.0053277
          42   -0.357536   -0.322903  0.00526739
          43   -0.337537   -0.323244  0.00515588
          44   -0.291606   -0.322525  0.00508859
          45    -0.36505    -0.32347   0.0050625
          46   -0.338099   -0.323788  0.00496242
          47    -0.30582   -0.323405  0.00487154
          48   -0.379885   -0.324582   0.0049101
          49   -0.389027   -0.325897  0.00498293
          50   -0.402032    -0.32742  0.00511063
