# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
           6           0     0.13225   0.0666168
        6.16           0     0.02075   0.0118711
        6.32           0     0.00375  0.00224653
        6.48           0       0.113   0.0935808
        6.64           0     0.04075   0.0266303
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08       0.232       0.047   0.0413705
        0.24       0.535      0.4008    0.124804
         0.4       0.551      1.1232    0.229678
        0.56       0.935      1.7222    0.387925
        0.72       3.059       2.657     0.38744
        0.88       3.352      3.0244    0.592861
        1.04       4.594      3.6728    0.339796
         1.2       6.386      5.4372    0.614145
        1.36       7.066      6.8508    0.629765
        1.52       4.334      5.5586    0.419056
        1.68       3.513      5.8866    0.553877
        1.84       3.465      6.1652    0.733942
           2       4.964      5.8344    0.818963
        2.16       7.186      6.0954    0.553468
        2.32       7.259      5.9572    0.374615
        2.48       5.475      5.6872   0.0998356
        2.64       7.788      6.9262    0.336865
         2.8       7.906       6.834    0.316778
        2.96       4.299      4.7286    0.513227
        3.12       3.334      3.7328    0.363776
        3.28       2.427      2.3614    0.118983
        3.44       3.831      2.8844    0.419731
         3.6       2.753      2.9056   0.0674582
        3.76       1.738       1.175    0.192816
        3.92       1.998      1.7474    0.259705
        4.08       2.156       1.496    0.244353
        4.24       2.805      1.7034    0.469463
         4.4       1.287      0.9288    0.190276
        4.56       1.374      0.8332    0.289683
        4.72       0.298      0.7296    0.201895
        4.88       0.775      1.3742    0.250898
        5.04       0.163      0.4806     0.13753
         5.2       0.034       0.224   0.0759637
        5.36       0.128      0.2234   0.0635746
        5.52           0      0.1162   0.0539455
        5.68           0      0.1368    0.092748
        5.84           0        0.09   0.0758425
           6           0      0.1058   0.0583084
        6.16           0      0.0166   0.0101965
        6.32           0       0.003  0.00191833
        6.48           0      0.0904   0.0775457
        6.64           0      0.0326   0.0225168
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08       0.067   0.0503333   0.0346095
        0.24       0.181    0.364167    0.109248
         0.4       1.814     1.23833    0.218357
        0.56       2.659     1.87833    0.353297
        0.72       3.456     2.79017    0.344994
        0.88       3.111     3.03883    0.494227
        1.04       3.962       3.721    0.286562
         1.2       4.448     5.27233    0.533458
        1.36       4.905      6.5265    0.602546
        1.52       4.282     5.34583    0.399593
        1.68       2.362     5.29917    0.707535
        1.84       4.645     5.91183     0.65389
           2       5.598       5.795    0.683416
        2.16       5.184      5.9435    0.481617
        2.32       7.632     6.23633    0.402971
        2.48       6.427      5.8105    0.139967
        2.64        7.88     7.08517    0.316011
         2.8      10.503      7.4455    0.617492
        2.96       4.035       4.613    0.440516
        3.12       5.289     3.99217    0.384652
        3.28       4.154     2.66017    0.290199
        3.44       3.492     2.98567    0.361786
         3.6       1.763     2.71517    0.182704
        3.76       1.318     1.19883    0.162146
        3.92       1.606     1.72383    0.217487
        4.08       0.972     1.40867    0.218678
        4.24       0.878     1.56583     0.41088
         4.4       0.941    0.930833    0.158574
        4.56        2.04     1.03433    0.303294
        4.72       0.764    0.735333    0.168327
        4.88       1.414     1.38083    0.209169
        5.04       0.218    0.436833    0.121373
         5.2           0    0.186667   0.0718941
        5.36           0    0.186167   0.0629446
        5.52           0   0.0968333    0.048306
        5.68           0       0.114   0.0800434
        5.84           0       0.075   0.0646684
           6           0   0.0881667   0.0511872
        6.16           0   0.0138333  0.00886446
        6.32           0      0.0025  0.00166249
        6.48           0   0.0753333   0.0660688
        6.64           0   0.0271667   0.0194085
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08       0.037   0.0484286   0.0297176
        0.24       0.352    0.362429   0.0936548
         0.4       1.482     1.27314    0.189917
        0.56       3.937     2.17243    0.407234
        0.72       2.698       2.777     0.29596
        0.88       1.799     2.86171    0.454253
        1.04       3.237     3.65186    0.253829
         1.2       5.054     5.24114    0.458161
        1.36       3.989       6.164    0.615932
        1.52        5.66     5.39071     0.34502
        1.68       3.657     5.06457    0.644178
        1.84       4.759     5.74714    0.580847
           2       8.232     6.14314    0.668605
        2.16       6.465       6.018    0.418537
        2.32        6.24     6.23686    0.345404
        2.48        6.55     5.91614    0.154788
        2.64       6.801     7.04457    0.273462
         2.8       4.521     7.02771     0.65555
        2.96       7.766     5.06343    0.562559
        3.12       4.264       4.031    0.331656
        3.28         4.4     2.90871    0.338856
        3.44        3.84     3.10771    0.330047
         3.6       2.039     2.61857     0.18034
        3.76       1.233     1.20371    0.139056
        3.92         2.1     1.77757    0.192942
        4.08        0.72     1.31029    0.208397
        4.24        0.23       1.375    0.394015
         4.4       0.758    0.906143    0.137829
        4.56       2.734     1.27714    0.343681
        4.72       1.221    0.804714    0.157933
        4.88       0.501     1.25514    0.213742
        5.04        0.04    0.380143    0.116524
         5.2       0.223    0.191857   0.0618106
        5.36       0.176    0.184714   0.0539693
        5.52       0.242    0.117571   0.0456401
        5.68       0.043    0.103857   0.0692483
        5.84           0   0.0642857   0.0563106
           6           0   0.0755714   0.0453979
        6.16           0   0.0118571  0.00781529
        6.32           0  0.00214286  0.00146285
        6.48           0   0.0645714   0.0575003
        6.64           0   0.0232857   0.0170195
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08       0.047     0.04825   0.0260035
        0.24       0.412    0.368625   0.0821527
         0.4       0.583     1.18687    0.184735
        0.56       2.054     2.15762    0.356599
        0.72       2.343     2.72275     0.26389
        0.88       1.629     2.70763    0.422799
        1.04       4.885       3.806    0.264799
         1.2       4.609     5.16212    0.407648
        1.36       6.003     6.14388     0.53927
        1.52       4.018     5.21913    0.341909
        1.68       5.059     5.06387    0.563656
        1.84       4.486      5.5895    0.529201
           2       7.685     6.33587    0.612178
        2.16       8.149     6.28437    0.442949
