#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               185                 1          0.897297         0.0137283
               186                 1          0.897849         0.0136656
               187                 1          0.898396         0.0136034
               188                 1          0.898936         0.0135418
               189                 1          0.899471         0.0134807
               190                 1               0.9         0.0134201
               191                 1          0.900524         0.0133601
               192                 1          0.901042         0.0133005
               193                 1          0.901554         0.0132415
               194                 1          0.902062          0.013183
               195                 1          0.902564         0.0131249
               196                 1          0.903061         0.0130674
               197                 1          0.903553         0.0130103
               198                 1           0.90404         0.0129537
               199                 1          0.904523         0.0128976
               200                 1             0.905         0.0128419
               201                 1          0.905473         0.0127867
               202                 1          0.905941          0.012732
               203                 1          0.906404         0.0126777
               204                 1          0.906863         0.0126239
               205                 1          0.907317         0.0125704
               206                 1          0.907767         0.0125175
               207                 1          0.908213         0.0124649
               208                 1          0.908654         0.0124128
               209                 1          0.909091         0.0123611
               210                 1          0.909524         0.0123098
               211                 1          0.909953          0.012259
               212                 1          0.910377         0.0122085
               213                 1          0.910798         0.0121584
               214                 1          0.911215         0.0121087
               215                 1          0.911628         0.0120595
               216                 1          0.912037         0.0120106
               217                 1          0.912442         0.0119621
               218                 1          0.912844         0.0119139
               219                 1          0.913242         0.0118662
               220                 1          0.913636         0.0118188
               221                 1          0.914027         0.0117718
               222                 1          0.914414         0.0117251
               223                 1          0.914798         0.0116788
               224                 1          0.915179         0.0116329
               225                 1          0.915556         0.0115873
               226                 1          0.915929          0.011542
               227                 1            0.9163         0.0114971
               228                 1          0.916667         0.0114525
               229                 1          0.917031         0.0114083
               230                 1          0.917391         0.0113644
               231                 1          0.917749         0.0113208
               232                 1          0.918103         0.0112776
               233                 1          0.918455         0.0112347
               234                 1          0.918803         0.0111921
               235                 1          0.919149         0.0111498
               236                 1          0.919492         0.0111078
               237                 1          0.919831         0.0110661
               238                 1          0.920168         0.0110247
               239                 1          0.920502         0.0109837
               240                 1          0.920833         0.0109429
               241                 1          0.921162         0.0109024
               242                 1          0.921488         0.0108622
               243                 1          0.921811         0.0108223
               244                 1          0.922131         0.0107827
               245                 1          0.922449         0.0107434
               246                 1          0.922764         0.0107044
               247                 1          0.923077         0.0106656
               248                 1          0.923387         0.0106271
               249                 1          0.923695         0.0105889
               250                 1             0.924         0.0105509
               251                 1          0.924303         0.0105132
               252                 1          0.924603         0.0104758
               253                 1          0.924901         0.0104386
               254                 1          0.925197         0.0104017
               255                 1           0.92549         0.0103651
               256                 1          0.925781         0.0103286
               257                 1           0.92607         0.0102925
               258                 1          0.926357         0.0102566
               259                 1          0.926641         0.0102209
               260                 1          0.926923         0.0101855
               261                 1          0.927203         0.0101503
               262                 1          0.927481         0.0101154
               263                 1          0.927757         0.0100807
               264                 1           0.92803         0.0100462
               265                 1          0.928302          0.010012
               266                 1          0.928571        0.00997797
               267                 1          0.928839        0.00994418
               268                 1          0.929104        0.00991062
               269                 1          0.929368        0.00987728
               270                 1           0.92963        0.00984417
               271                 1          0.929889        0.00981126
               272                 1          0.930147        0.00977858
               273                 1          0.930403        0.00974611
