10000 3.14342 0
20000 3.15587 0.0124492
30000 3.1511 0.00862464
40000 3.15682 0.00836001
50000 3.14706 0.0117155
60000 3.14696 0.0095661
70000 3.14593 0.00815085
80000 3.14608 0.00706044
90000 3.14695 0.00628787
100000 3.1406 0.00848309
110000 3.14041 0.00767566
120000 3.13918 0.0071146
130000 3.13558 0.007469
140000 3.13439 0.00701672
150000 3.13319 0.00664042
160000 3.13109 0.00655732
170000 3.132 0.00622593
180000 3.1337 0.00611234
190000 3.13337 0.00579108
200000 3.13406 0.00553677
210000 3.13439 0.00527673
220000 3.1361 0.00531493
230000 3.1371 0.00517469
240000 3.13775 0.00499692
250000 3.13952 0.00511181
260000 3.14058 0.00502418
270000 3.14076 0.00483764
280000 3.14152 0.00472332
290000 3.14038 0.0046967
300000 3.13928 0.00466874
310000 3.13773 0.00477469
320000 3.13845 0.00467897
330000 3.1389 0.00455733
340000 3.13999 0.00455293
350000 3.13975 0.00442723
360000 3.13946 0.00431233
370000 3.13999 0.00422704
380000 3.13942 0.0041537
390000 3.13882 0.0040906
400000 3.13962 0.00406656
410000 3.13841 0.00414667
420000 3.13869 0.00405651
430000 3.13809 0.0040064
440000 3.13751 0.00395611
450000 3.13884 0.00409009
460000 3.13927 0.00402251
470000 3.13869 0.0039778
480000 3.13799 0.00395684
490000 3.13833 0.00389
500000 3.1396 0.00401802
510000 3.14019 0.00398205
520000 3.14026 0.00390542
530000 3.14034 0.00383193
540000 3.14038 0.00376045
550000 3.14008 0.00370376
560000 3.14061 0.00367658
570000 3.14094 0.00362578
580000 3.1404 0.00360289
590000 3.14063 0.00354874
600000 3.14041 0.00349601
610000 3.14046 0.00343858
620000 3.14081 0.00340055
630000 3.13994 0.00345571
640000 3.13968 0.00341136
650000 3.14095 0.00358882
660000 3.14035 0.00358452
670000 3.14028 0.00353121
680000 3.14139 0.00365022
690000 3.14128 0.00359844
700000 3.14127 0.00354669
710000 3.14153 0.00350585
720000 3.14132 0.00346284
730000 3.14185 0.00345519
740000 3.14206 0.0034149
750000 3.14138 0.00343666
760000 3.14132 0.00339171
770000 3.14101 0.00336214
780000 3.14082 0.00332417
790000 3.14076 0.00328238
800000 3.14109 0.00325853
810000 3.14108 0.00321809
820000 3.14093 0.00318186
830000 3.1413 0.00316473
840000 3.14124 0.00312732
850000 3.14123 0.00309033
860000 3.14107 0.00305839
870000 3.14079 0.00303622
880000 3.14098 0.00300721
890000 3.14039 0.00303047
900000 3.1404 0.00299664
910000 3.13991 0.00300455
920000 3.13982 0.00297304
930000 3.14034 0.00298716
940000 3.14041 0.00295609
950000 3.14033 0.00292604
960000 3.14066 0.00291424
970000 3.14076 0.00288572
980000 3.14069 0.00285707
990000 3.14101 0.00284651
1000000 3.14114 0.00282087
