# DISTANCE:     SINGLE_BLOCK_AVE_GOFR:       PROGRESSIVE_AVE_GOFR:        ERROR:
           2.23152           155.872            158.61           1.93606
           2.25717           154.708           157.504           1.97707
           2.28282           151.586           152.787          0.849235
           2.30847            147.71           152.561           3.43017
           2.33412           148.514           150.099           1.12076
           2.35977           148.076           151.241           2.23799
           2.38542           147.784           148.992          0.854185
           2.41107           149.144           151.077           1.36684
           2.43672           151.504           151.929           0.30052
           2.46237           149.412           148.461          0.672459
           2.48802           154.342           156.305           1.38805
           2.51366           154.324           156.814            1.7607
           2.53931           157.602           158.809          0.853478
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088              0.02        0.00666667        0.00544331
          0.897737             0.294          0.294667         0.0608118
          0.923387             2.622             2.726          0.143149
          0.949037            11.794            11.916          0.382735
          0.974686             29.33           29.5033          0.319073
           1.00034            49.544           50.5087          0.466642
           1.02599            71.314            71.474          0.388314
           1.05164            81.334           82.7653          0.846422
           1.07728            84.706           85.9353          0.782662
           1.10293             83.58            86.164           1.08699
           1.12858            86.836             83.13           1.85397
           1.15423            79.518             77.58           1.53364
           1.17988            71.448            69.932           0.80985
           1.20553            65.944            65.562           0.35436
           1.23118            62.824           61.2967          0.917921
           1.25683            55.098            55.906          0.459307
           1.28248             51.58           51.2287          0.601424
           1.30813            50.744           48.9847          0.803695
           1.33378            48.196           47.3713          0.336743
           1.35943            46.292           46.2367          0.673073
           1.38508            44.632            44.578          0.350947
           1.41073            43.826           43.6433           1.33898
           1.43638             43.32           43.8553          0.458491
           1.46203             38.33            42.258           1.68077
           1.48768            40.264           42.3707          0.869688
           1.51333            42.122           44.2747          0.889033
           1.53898            43.658           44.0893          0.480772
           1.56463            45.294           45.6493            0.6009
           1.59028            46.732           46.4987          0.934478
           1.61593            47.194           49.8107           1.19391
           1.64158            50.016           51.6073          0.952972
           1.66723            56.758           56.0767          0.952282
           1.69288             58.91             60.48          0.797597
           1.71853            66.896           65.5647          0.708764
           1.74418             69.77           69.5907          0.995944
           1.76983            76.208           73.7647             1.535
           1.79547            82.262           79.9193           1.81809
           1.82112            87.576            87.618          0.772822
           1.84677            92.062           90.7373           1.81306
           1.87242           101.294           99.2693          0.906008
           1.89807           108.454           104.825           1.48689
           1.92372           116.114           114.323          0.797912
           1.94937           128.706            123.47            2.1976
           1.97502           132.202           129.023           1.43315
           2.00067           133.058           133.112          0.831379
           2.02632           137.296           140.264           1.35193
           2.05197           144.104           146.698           1.97922
           2.07762           152.464           152.963           0.36084
           2.10327           152.248           156.009           1.53587
           2.12892           157.384           157.059           0.49793
           2.15457            154.37           156.325          0.798312
           2.18022           156.744           155.751             2.393
           2.20587           158.478           157.075          0.958838
           2.23152           155.626           157.615           1.52496
           2.25717           151.682           155.563           2.06108
           2.28282           155.462           153.679          0.922269
           2.30847           151.358            152.16            2.3101
           2.33412           150.238           150.145          0.748133
           2.35977           145.672           149.385           2.12682
           2.38542           143.444           147.143           1.61379
           2.41107           143.934           148.696           2.14704
           2.43672           147.602           150.487           1.19458
           2.46237           148.958           148.627          0.468268
           2.48802           153.064           155.225           1.27843
           2.51366           154.602           156.077           1.31918
           2.53931           158.542            158.72          0.573607
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088             0.004             0.006        0.00412311
          0.897737             0.404             0.322         0.0513858
          0.923387             2.834             2.753          0.109878
          0.949037             10.96            11.677          0.353892
          0.974686            30.786            29.824          0.366588
           1.00034            52.718            51.061          0.592698
           1.02599            72.214            71.659          0.332395
           1.05164            81.516            82.453          0.690041
           1.07728            86.454            86.065          0.597641
           1.10293            87.054           86.3865          0.837703
           1.12858              82.2           82.8975           1.40498
           1.15423            76.648            77.347            1.1678
           1.17988            67.524             69.33          0.800451
           1.20553            66.442            65.782          0.327007
           1.23118             61.16           61.2625          0.689076
           1.25683            53.404           55.2805          0.641953
           1.28248            49.256           50.7355          0.621186
           1.30813             47.33            48.571          0.701194
           1.33378            45.776           46.9725          0.427886
           1.35943            43.602            45.578          0.761715
           1.38508            43.648           44.3455          0.331394
           1.41073            43.184           43.5285           1.00915
           1.43638            45.598            44.291          0.510489
           1.46203            42.962            42.434           1.26976
           1.48768            45.612            43.181          0.958087
           1.51333            42.594           43.8545          0.759601
           1.53898            46.448            44.679          0.625138
           1.56463            46.184            45.783          0.465304
           1.59028             48.53           47.0065           0.82742
           1.61593            51.316            50.187          0.952899
           1.64158            55.268           52.5225           1.06723
           1.66723            57.494            56.431          0.777343
           1.69288            59.786           60.3065           0.61678
           1.71853            65.964           65.6645          0.538558
           1.74418             71.74            70.128          0.880052
           1.76983            76.444           74.4345           1.28914
           1.79547            78.338            79.524           1.40589
           1.82112            85.898            87.188          0.688934
           1.84677            93.122           91.3335           1.45451
           1.87242              99.4            99.302          0.680094
           1.89807            110.01           106.121           1.58239
           1.92372           114.498           114.366          0.599637
           1.94937            119.72           122.532           1.83732
           1.97502           127.528           128.649           1.12252
           2.00067           131.212           132.637          0.747003
           2.02632            142.28           140.768            1.1039
           2.05197           146.262           146.589           1.48741
           2.07762            155.73           153.654          0.657431
           2.10327           150.258           154.571           1.69629
           2.12892           152.808           155.996          0.993181
           2.15457           151.758           155.184           1.15599
           2.18022           155.272           155.632           1.79775
           2.20587            155.05           156.569          0.842199
           2.23152           152.676            156.38           1.56579
           2.25717            151.88           154.643           1.73939
