# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
        3.28        5.92       4.262     1.55007
        3.44        3.68        1.81    0.786699
         3.6        1.31       0.558    0.288006
        3.76        2.13       0.664    0.377938
        3.92           2        0.67    0.361154
        4.08        1.82       0.492     0.30461
        4.24        0.77       0.264    0.147908
         4.4        0.58       0.148    0.100495
        4.56        0.25       0.126   0.0714199
        4.72        0.08       0.016   0.0143108
        4.88        0.12       0.024   0.0214663
        5.04        0.09       0.018   0.0160997
         5.2           0           0           0
        5.36           0           0           0
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0  0.00833333  0.00760726
        0.24        0.53    0.111667   0.0770071
         0.4        0.47    0.333333   0.0931447
        0.56        0.07       0.315   0.0997149
        0.72        1.65    0.581667     0.23127
        0.88        1.72       0.965      0.3256
        1.04        2.77     1.22167    0.456347
         1.2         4.8     1.99833    0.757332
        1.36        6.35     3.21667     1.03855
        1.52        5.74       3.085    0.798449
        1.68        7.45     4.92167      1.2131
        1.84        6.85     6.66167     1.45097
           2       11.04       7.615     1.24074
        2.16        7.38     7.53167    0.417715
        2.32        6.55       13.03     4.12006
        2.48        4.68      12.475      2.6089
        2.64        8.39      13.785     3.85345
         2.8        4.83     8.28167      1.2556
        2.96        3.92     5.36167     1.17387
        3.12        4.83        5.96     1.56856
        3.28         6.3     4.60167     1.32842
        3.44        2.42     1.91167     0.66212
         3.6        1.41         0.7    0.272774
        3.76        0.97       0.715     0.31837
        3.92        2.02       0.895     0.36437
        4.08         0.7    0.526667    0.255807
        4.24        0.59    0.318333    0.132862
         4.4        1.24        0.33    0.186056
        4.56        0.16    0.131667    0.059741
        4.72        1.09       0.195    0.163839
        4.88        0.41   0.0883333    0.061392
        5.04        0.67    0.126667    0.100102
         5.2           0           0           0
        5.36           0           0           0
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0  0.00714286    0.006613
        0.24        0.97    0.234286    0.131318
         0.4        0.28    0.325714   0.0801493
        0.56        1.76    0.521429    0.209357
        0.72         2.2    0.812857    0.291735
        0.88        3.06     1.26429    0.393274
        1.04        2.05        1.34    0.406207
         1.2        3.12     2.15857    0.665878
        1.36        3.18     3.21143    0.890199
        1.52           9        3.93     1.03942
        1.68        6.27     5.11429     1.05498
        1.84        7.28        6.75     1.24637
           2        9.83     7.93143     1.10311
        2.16        3.86     7.00714    0.603337
        2.32        8.08     12.3229     3.59165
        2.48        6.29     11.5914     2.38113
        2.64        9.03     13.1057      3.3623
         2.8        4.01     7.67143     1.21551
        2.96        6.16     5.47571      1.0117
        3.12        5.52     5.89714     1.34574
        3.28        4.54     4.59286     1.13868
        3.44        1.74     1.88714    0.567985
         3.6        1.82        0.86    0.276782
        3.76        3.09     1.05429    0.416099
        3.92        0.82    0.884286    0.312474
        4.08        0.29    0.492857    0.221486
        4.24        1.57    0.497143    0.200934
         4.4        1.61    0.512857    0.232578
        4.56        0.15    0.134286   0.0512639
        4.72        0.12    0.184286    0.140783
        4.88        0.07   0.0857143   0.0526776
        5.04         0.1    0.122857    0.085874
         5.2        0.13   0.0185714   0.0171938
        5.36           0           0           0
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0     0.00625  0.00584634
        0.24           0       0.205    0.118123
         0.4        2.31     0.57375    0.242384
        0.56        1.64     0.66125    0.225086
        0.72        1.67        0.92    0.274238
        0.88         2.4     1.40625    0.368849
        1.04        3.24      1.5775     0.41915
         1.2        3.63      2.3425    0.607515
        1.36        5.16       3.455    0.811563
        1.52        7.16     4.33375    0.984795
        1.68        7.08        5.36    0.951292
        1.84        8.93      7.0225     1.11997
           2        7.77     7.91125    0.965402
        2.16        6.99       7.005    0.527923
        2.32        6.56     11.6025     3.21412
        2.48        6.19     10.9162     2.17711
        2.64        4.73     12.0587     3.10074
         2.8        6.11     7.47625     1.07913
        2.96         4.1     5.30375    0.899731
        3.12        4.08        5.67     1.19654
        3.28        4.03      4.5225    0.998513
        3.44        3.42     2.07875    0.528318
         3.6        3.82        1.23    0.422422
        3.76        1.86       1.155    0.376078
        3.92        1.63      0.9775    0.286982
        4.08        1.14     0.57375    0.208049
        4.24        1.49     0.62125    0.210687
         4.4        0.09        0.46    0.209426
        4.56        0.03     0.12125   0.0464838
        4.72        0.03       0.165    0.124499
        4.88        0.03     0.07875    0.046551
        5.04        0.06       0.115   0.0754983
         5.2        0.15       0.035   0.0215058
        5.36        0.47     0.05875   0.0549556
        5.52           0           0           0
        5.68           0           0           0
        5.84           0           0           0
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
