                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088                 0             0.009        0.00419881
          0.897737              0.18             0.346         0.0338591
          0.923387              2.84            2.9444         0.0981426
          0.949037             10.36           12.0382          0.211227
          0.974686             26.98           29.8122          0.396565
           1.00034              51.9           51.3698          0.504476
           1.02599              72.2           70.8954           0.56009
           1.05164             89.76           83.4136          0.540184
           1.07728             84.22           86.7454           0.52871
           1.10293              92.8           86.7092          0.694741
           1.12858             66.34            82.177          0.702251
           1.15423              79.8           76.3016           0.65491
           1.17988             67.96            70.185          0.573918
           1.20553             67.16           65.9126          0.541843
           1.23118             67.68           61.2368          0.619753
           1.25683              52.8           55.6464          0.530602
           1.28248             59.42           52.2176          0.557658
           1.30813                43           48.7826          0.529248
           1.33378             49.38            46.701          0.551511
           1.35943             46.24            45.368          0.559469
           1.38508             48.58           43.6028          0.541012
           1.41073             45.14           42.3556           0.53092
           1.43638                38           42.4016          0.520566
           1.46203             39.64           41.8974          0.507065
           1.48768             33.84           42.2564          0.502384
           1.51333             39.12           43.2038          0.443093
           1.53898              56.2            44.329          0.555229
           1.56463             42.54           45.1436          0.569772
           1.59028             45.32           46.7622          0.504719
           1.61593             49.86           49.7566          0.558769
           1.64158             54.18           52.6706          0.535017
           1.66723             60.06           57.3658          0.579082
           1.69288             52.72           60.1894           0.57809
           1.71853             62.38           65.5618            0.5747
           1.74418             58.98           70.9598          0.713647
           1.76983             75.72           76.0798          0.675344
           1.79547             87.36           81.7576          0.767959
           1.82112              95.3           87.5724           0.70177
           1.84677            100.08           93.7062          0.790981
           1.87242             96.92           100.178          0.770995
           1.89807            111.98           108.034          0.839813
           1.92372            128.78           115.557          0.789259
           1.94937            118.78            123.02          0.890212
           1.97502             130.6           129.288          0.799109
           2.00067            131.76            134.55          0.798963
           2.02632             138.6           142.135          0.831819
           2.05197            159.58           146.958          0.940014
           2.07762               146           151.624          0.931949
           2.10327            142.24             151.3          0.995595
           2.12892            148.24           153.113           0.94253
           2.15457            157.44           153.474           0.84792
           2.18022            150.36           153.392          0.840115
           2.20587            141.62           153.443           1.01481
           2.23152             143.9           153.094           1.02402
           2.25717            152.78           153.607          0.889872
           2.28282            154.22           151.767          0.953303
           2.30847            154.86           150.986          0.911248
           2.33412            148.82           149.997          0.882815
           2.35977            155.34           151.215          0.878572
           2.38542            156.46            148.98          0.955696
           2.41107            161.24           149.975          0.988092
           2.43672            154.02           149.971          0.990894
           2.46237             153.1           151.202           0.84718
           2.48802            161.02           154.312          0.882769
           2.51366            162.32            156.91          0.860837
           2.53931               150           158.961          0.877452
