       0              0              0
       0              0             -1
       0              1             -1
      -1              1             -1
       0              1             -1
       0              1             -2
       0              1             -1
       0              2             -1
       0              1             -1
      -1              1             -1
      -1              1              0
      -1              2              0
      -1              1              0
      -1              0              0
      -1              0              1
      -1             -1              1
      -1             -1              2
      -1             -2              2
       0             -2              2
       0             -3              2
       0             -4              2
       0             -4              3
       0             -4              2
       0             -3              2
       0             -3              1
       0             -3              2
       0             -4              2
       1             -4              2
       2             -4              2
       2             -3              2
       1             -3              2
       0             -3              2
      -1             -3              2
      -1             -4              2
      -2             -4              2
      -2             -4              3
      -2             -5              3
      -2             -5              4
      -1             -5              4
      -1             -4              4
      -1             -3              4
      -1             -2              4
      -2             -2              4
      -2             -2              5
      -2             -3              5
      -2             -3              4
      -2             -3              5
      -2             -2              5
      -2             -3              5
      -2             -4              5
      -2             -4              6
      -2             -3              6
      -2             -4              6
      -2             -4              5
      -3             -4              5
      -4             -4              5
      -4             -3              5
      -5             -3              5
      -5             -3              4
      -5             -2              4
      -5             -1              4
      -4             -1              4
      -4              0              4
      -5              0              4
      -5              0              3
      -5              1              3
      -4              1              3
      -3              1              3
      -4              1              3
      -5              1              3
      -4              1              3
      -5              1              3
      -5              2              3
      -4              2              3
      -4              2              2
      -4              1              2
      -4              1              1
      -5              1              1
      -5              1              0
      -5              1             -1
      -5              1             -2
      -5              1             -3
      -5              0             -3
      -5              1             -3
      -5              0             -3
      -6              0             -3
      -6              1             -3
      -7              1             -3
      -6              1             -3
      -6              1             -4
      -6              0             -4
      -6             -1             -4
      -6             -1             -5
      -6              0             -5
      -7              0             -5
      -7              1             -5
      -7              0             -5
      -6              0             -5
      -5              0             -5
      -5              1             -5
      -5              1             -6
      -5              1             -5
      -5              1             -6
      -5              1             -5
      -6              1             -5
      -6              1             -6
      -7              1             -6
      -7              1             -7
      -7              0             -7
      -8              0             -7
      -8             -1             -7
      -9             -1             -7
      -9              0             -7
     -10              0             -7
     -10              0             -6
     -10              0             -7
     -10              1             -7
     -10              2             -7
     -10              1             -7
     -10              2             -7
     -10              2             -6
     -10              2             -7
     -10              3             -7
      -9              3             -7
      -8              3             -7
      -8              3             -6
      -8              3             -7
      -8              2             -7
      -7              2             -7
      -7              3             -7
      -8              3             -7
      -8              3             -6
      -8              3             -5
      -9              3             -5
      -9              3             -4
      -9              4             -4
      -9              4             -3
      -9              4             -4
      -8              4             -4
      -8              3             -4
      -8              4             -4
      -8              3             -4
      -8              3             -3
      -7              3             -3
      -8              3             -3
      -8              4             -3
      -9              4             -3
     -10              4             -3
     -10              5             -3
     -11              5             -3
     -11              6             -3
     -11              6             -4
     -11              6             -3
     -11              6             -2
     -12              6             -2
     -12              6             -3
     -11              6             -3
     -10              6             -3
     -10              6             -4
     -10              5             -4
     -10              5             -5
     -10              5             -6
     -10              5             -7
     -10              5             -6
      -9              5             -6
      -8              5             -6
      -7              5             -6
      -7              5             -7
      -8              5             -7
      -8              6             -7
      -8              7             -7
      -7              7             -7
      -6              7             -7
      -6              6             -7
      -6              7             -7
      -7              7             -7
      -7              7             -6
      -7              7             -7
      -8              7             -7
      -7              7             -7
      -6              7             -7
      -6              8             -7
      -6              9             -7
      -6             10             -7
      -7             10             -7
      -7             10             -8
      -7             11             -8
      -8             11             -8
      -9             11             -8
      -9             10             -8
      -9             10             -7
      -9             10             -6
      -9             11             -6
      -9             12             -6
     -10             12             -6
     -10             11             -6
     -10             11             -5
     -10             12             -5
     -10             13             -5
     -10             12             -5
      -9             12             -5
      -9             11             -5
      -8             11             -5
      -8             11             -4
      -8             11             -5
      -7             11             -5
      -7             10             -5
      -7             11             -5
      -7             12             -5
      -7             12             -4
      -7             13             -4
      -7             13             -3
      -7             12             -3
      -7             12             -4
      -6             12             -4
      -6             13             -4
      -6             14             -4
      -6             14             -3
      -6             13             -3
      -5             13             -3
      -5             13             -2
      -5             13             -3
      -5             14             -3
      -4             14             -3
      -4             13             -3
      -3             13             -3
      -3             12             -3
      -3             11             -3
      -3             12             -3
      -3             12             -4
      -4             12             -4
      -3             12             -4
      -3             11             -4
      -3             11             -3
      -3             11             -2
      -3             10             -2
      -3              9             -2
      -2              9             -2
      -3              9             -2
      -3              9             -3
      -3              9             -4
      -3              8             -4
      -4              8             -4
      -4              8             -3
      -4              9             -3
      -4             10             -3
      -4             10             -4
      -3             10             -4
      -3             11             -4
      -3             10             -4
      -4             10             -4
      -4              9             -4
      -4             10             -4
      -4             10             -5
      -4              9             -5
      -4              9             -6
      -4              9             -7
      -4              9             -8
      -4              8             -8
      -4              9             -8
      -4              9             -7
      -4              9             -8
      -4              8             -8
      -4              9             -8
      -4              9             -7
      -4              8             -7
      -4              8             -6
      -4              9             -6
      -4              9             -7
      -4             10             -7
      -3             10             -7
      -3              9             -7
      -3              9             -6
      -3              9             -7
      -3              9             -6
      -3              9             -5
      -3             10             -5
      -3              9             -5
      -2              9             -5
      -2              9             -6
      -3              9             -6
      -3              9             -5
      -3              9             -4
      -3              8             -4
      -3              8             -3
      -3              9             -3
      -3              9             -2
      -4              9             -2
      -5              9             -2
      -5              8             -2
      -4              8             -2
      -3              8             -2
      -2              8             -2
      -2              8             -1
      -3              8             -1
      -3              7             -1
      -2              7             -1
      -2              7             -2
      -1              7             -2
       0              7             -2
       1              7             -2
       2              7             -2
       2              7             -1
       2              8             -1
       2              7             -1
       3              7             -1
       3              6             -1
       3              6             -2
       3              6             -3
       3              5             -3
       3              5             -2
       2              5             -2
       2              6             -2
       1              6             -2
       1              6             -3
       1              6             -2
       2              6             -2
       2              7             -2
       2              7             -3
       3              7             -3
       4              7             -3
       4              8             -3
       4              7             -3
       4              6             -3
       3              6             -3
       3              7             -3
       3              8             -3
       3              8             -4
       4              8             -4
       3              8             -4
       2              8             -4
       2              8             -3
       2              8             -2
       2              7             -2
       2              8             -2
       2              8             -3
       2              8             -2
       2              9             -2
       2              9             -1
       2              8             -1
       2              8             -2
       2              9             -2
       2              9             -1
       2              9              0
       2              9              1
       1              9              1
       1             10              1
       1             10              2
       1             10              3
       1              9              3
       1             10              3
       2             10              3
       2              9              3
       3              9              3
       4              9              3
       4              9              2
       4              9              3
       4             10              3
       5             10              3
       5             10              2
       6             10              2
       6             10              3
       6             11              3
       7             11              3
       6             11              3
       6             11              4
       6             12              4
       5             12              4
       5             12              5
       5             13              5
       5             13              6
       5             14              6
       5             13              6
       6             13              6
       6             12              6
       6             12              5
       6             11              5
       6             11              4
       5             11              4
       6             11              4
       6             12              4
       6             12              5
       6             13              5
       7             13              5
       8             13              5
       8             13              4
       9             13              4
       9             14              4
       9             14              3
       9             14              2
       8             14              2
       7             14              2
       6             14              2
       5             14              2
       4             14              2
       4             14              1
       5             14              1
       5             14              2
       5             14              3
       5             14              2
       5             13              2
       4             13              2
       5             13              2
       5             13              3
       5             14              3
       5             15              3
       6             15              3
       5             15              3
       6             15              3
       6             14              3
       6             14              4
       7             14              4
       7             15              4
       8             15              4
       9             15              4
       9             15              3
      10             15              3
      10             16              3
      11             16              3
      12             16              3
      12             17              3
      11             17              3
      11             17              4
      10             17              4
      11             17              4
      10             17              4
      10             17              3
      10             17              2
      10             16              2
      10             16              1
      10             17              1
      10             16              1
      10             15              1
      10             16              1
       9             16              1
       8             16              1
       8             16              2
       9             16              2
       8             16              2
       9             16              2
       9             15              2
       9             15              3
      10             15              3
      10             16              3
       9             16              3
       9             16              4
      10             16              4
      11             16              4
      12             16              4
      12             15              4
      12             14              4
      11             14              4
      11             15              4
      11             15              5
      11             14              5
      10             14              5
      10             13              5
      10             13              6
      10             12              6
       9             12              6
       8             12              6
       8             12              5
       8             12              6
       8             11              6
       8             12              6
       8             11              6
       9             11              6
       9             11              7
       9             12              7
      10             12              7
      11             12              7
      11             12              8
      11             13              8
      11             14              8
      11             14              7
      11             15              7
      11             15              6
      11             15              7
      12             15              7
      12             16              7
      12             17              7
      12             17              8
      12             18              8
      13             18              8
      13             18              7
      13             19              7
      13             19              6
      14             19              6
      15             19              6
      16             19              6
      16             20              6
      16             20              5
      17             20              5
      17             20              4
      17             19              4
      18             19              4
      18             20              4
      18             20              3
      18             21              3
      17             21              3
      17             21              2
      17             22              2
      17             21              2
      17             20              2
      18             20              2
      18             20              3
      18             19              3
      18             20              3
      17             20              3
      16             20              3
      16             20              2
      17             20              2
      17             21              2
      18             21              2
      18             21              1
      17             21              1
      17             21              0
      17             21              1
      17             21              2
      17             21              1
      17             20              1
      17             21              1
      18             21              1
      18             21              0
      18             20              0
      17             20              0
      16             20              0
      15             20              0
      14             20              0
      15             20              0
      15             21              0
      15             22              0
      16             22              0
      16             22              1
      15             22              1
      15             22              2
      16             22              2
      16             22              1
      17             22              1
      17             22              0
      17             21              0
      17             21             -1
      18             21             -1
      18             21              0
      19             21              0
      18             21              0
      18             20              0
      18             20              1
      18             21              1
      17             21              1
      17             21              0
      17             21             -1
      17             22             -1
      17             22             -2
      18             22             -2
      17             22             -2
      18             22             -2
      19             22             -2
      20             22             -2
      21             22             -2
      21             21             -2
      21             22             -2
      21             21             -2
      21             21             -1
      22             21             -1
      22             22             -1
      22             22              0
      23             22              0
      23             21              0
      24             21              0
      24             22              0
      25             22              0
      25             22              1
      25             21              1
      24             21              1
      23             21              1
      23             21              0
      23             20              0
      23             21              0
      23             22              0
      24             22              0
      24             22             -1
      24             21             -1
      24             21             -2
      24             21             -1
      24             22             -1
      24             22              0
      25             22              0
      24             22              0
      24             22              1
      23             22              1
      23             22              0
      22             22              0
      21             22              0
      21             22             -1
      22             22             -1
      22             21             -1
      22             20             -1
      22             19             -1
      22             20             -1
      21             20             -1
      20             20             -1
      20             19             -1
      20             18             -1
      20             17             -1
      21             17             -1
      21             16             -1
      21             16             -2
      21             16             -3
      20             16             -3
      21             16             -3
      20             16             -3
      20             16             -4
      20             17             -4
      20             18             -4
      19             18             -4
      20             18             -4
      20             18             -5
      20             18             -4
      20             17             -4
      20             17             -5
      20             17             -4
      20             18             -4
      21             18             -4
      22             18             -4
      23             18             -4
      23             17             -4
      22             17             -4
      22             17             -5
      22             17             -6
      22             17             -7
      22             18             -7
      22             18             -6
      23             18             -6
      24             18             -6
      24             18             -5
      24             19             -5
      24             19             -6
      24             20             -6
      24             19             -6
      24             19             -7
      24             19             -6
      25             19             -6
      25             18             -6
      25             17             -6
      25             17             -7
      25             18             -7
